"Taxon","Treatment","Season","Replicate","Biomass"
"Ablabesmyia","Disturbed","Fall19","1",0
"Ablabesmyia","Disturbed","Fall19","2",0
"Ablabesmyia","Disturbed","Fall19","3",0
"Ablabesmyia","Disturbed","Fall19","4",0
"Ablabesmyia","Disturbed","Fall19","5",0
"Ablabesmyia","Disturbed","Spring20","1",0
"Ablabesmyia","Disturbed","Spring20","2",0
"Ablabesmyia","Disturbed","Spring20","3",0
"Ablabesmyia","Disturbed","Spring20","4",0
"Ablabesmyia","Disturbed","Spring20","5",0
"Ablabesmyia","Disturbed","Summer19","1",0
"Ablabesmyia","Disturbed","Summer19","2",0
"Ablabesmyia","Disturbed","Summer19","3",0
"Ablabesmyia","Disturbed","Summer19","4",0
"Ablabesmyia","Disturbed","Summer19","5",0
"Ablabesmyia","Disturbed","Winter20","1",0
"Ablabesmyia","Disturbed","Winter20","2",0
"Ablabesmyia","Disturbed","Winter20","3",0
"Ablabesmyia","Disturbed","Winter20","4",0
"Ablabesmyia","Disturbed","Winter20","5",0
"Acentrella","Disturbed","Fall19","1",0
"Acentrella","Disturbed","Fall19","2",0
"Acentrella","Disturbed","Fall19","3",0
"Acentrella","Disturbed","Fall19","4",0
"Acentrella","Disturbed","Fall19","5",0
"Acentrella","Disturbed","Spring20","1",0.187761268
"Acentrella","Disturbed","Spring20","2",0
"Acentrella","Disturbed","Spring20","3",0
"Acentrella","Disturbed","Spring20","4",0.23088
"Acentrella","Disturbed","Spring20","5",0
"Acentrella","Disturbed","Summer19","1",0
"Acentrella","Disturbed","Summer19","2",0
"Acentrella","Disturbed","Summer19","3",0
"Acentrella","Disturbed","Summer19","4",0.58192077
"Acentrella","Disturbed","Summer19","5",0
"Acentrella","Disturbed","Winter20","1",0
"Acentrella","Disturbed","Winter20","2",0
"Acentrella","Disturbed","Winter20","3",0
"Acentrella","Disturbed","Winter20","4",0
"Acentrella","Disturbed","Winter20","5",0
"Afghanurus criddlei","Disturbed","Fall19","1",0
"Afghanurus criddlei","Disturbed","Fall19","2",0
"Afghanurus criddlei","Disturbed","Fall19","3",0
"Afghanurus criddlei","Disturbed","Fall19","4",0
"Afghanurus criddlei","Disturbed","Fall19","5",0
"Afghanurus criddlei","Disturbed","Spring20","1",0
"Afghanurus criddlei","Disturbed","Spring20","2",0
"Afghanurus criddlei","Disturbed","Spring20","3",0
"Afghanurus criddlei","Disturbed","Spring20","4",0
"Afghanurus criddlei","Disturbed","Spring20","5",0
"Afghanurus criddlei","Disturbed","Summer19","1",0
"Afghanurus criddlei","Disturbed","Summer19","2",0
"Afghanurus criddlei","Disturbed","Summer19","3",0
"Afghanurus criddlei","Disturbed","Summer19","4",0
"Afghanurus criddlei","Disturbed","Summer19","5",0
"Afghanurus criddlei","Disturbed","Winter20","1",0
"Afghanurus criddlei","Disturbed","Winter20","2",0
"Afghanurus criddlei","Disturbed","Winter20","3",0
"Afghanurus criddlei","Disturbed","Winter20","4",0
"Afghanurus criddlei","Disturbed","Winter20","5",0
"Agraylea","Disturbed","Fall19","1",0
"Agraylea","Disturbed","Fall19","2",2.684496892
"Agraylea","Disturbed","Fall19","3",3.401533723
"Agraylea","Disturbed","Fall19","4",22.01501584
"Agraylea","Disturbed","Fall19","5",41.48824742
"Agraylea","Disturbed","Spring20","1",3.457353951
"Agraylea","Disturbed","Spring20","2",3.893844888
"Agraylea","Disturbed","Spring20","3",0
"Agraylea","Disturbed","Spring20","4",0
"Agraylea","Disturbed","Spring20","5",0
"Agraylea","Disturbed","Summer19","1",0
"Agraylea","Disturbed","Summer19","2",0
"Agraylea","Disturbed","Summer19","3",0.1792
"Agraylea","Disturbed","Summer19","4",0
"Agraylea","Disturbed","Summer19","5",0
"Agraylea","Disturbed","Winter20","1",0
"Agraylea","Disturbed","Winter20","2",7.601568447
"Agraylea","Disturbed","Winter20","3",25.93015463
"Agraylea","Disturbed","Winter20","4",0
"Agraylea","Disturbed","Winter20","5",17.28676976
"Allocosmoecus partitus","Disturbed","Fall19","1",0
"Allocosmoecus partitus","Disturbed","Fall19","2",0
"Allocosmoecus partitus","Disturbed","Fall19","3",0
"Allocosmoecus partitus","Disturbed","Fall19","4",0
"Allocosmoecus partitus","Disturbed","Fall19","5",0
"Allocosmoecus partitus","Disturbed","Spring20","1",0
"Allocosmoecus partitus","Disturbed","Spring20","2",0
"Allocosmoecus partitus","Disturbed","Spring20","3",0
"Allocosmoecus partitus","Disturbed","Spring20","4",0
"Allocosmoecus partitus","Disturbed","Spring20","5",0
"Allocosmoecus partitus","Disturbed","Summer19","1",35.75275808
"Allocosmoecus partitus","Disturbed","Summer19","2",0
"Allocosmoecus partitus","Disturbed","Summer19","3",0
"Allocosmoecus partitus","Disturbed","Summer19","4",0
"Allocosmoecus partitus","Disturbed","Summer19","5",0
"Allocosmoecus partitus","Disturbed","Winter20","1",0
"Allocosmoecus partitus","Disturbed","Winter20","2",0
"Allocosmoecus partitus","Disturbed","Winter20","3",0
"Allocosmoecus partitus","Disturbed","Winter20","4",0
"Allocosmoecus partitus","Disturbed","Winter20","5",0
"Alotanypus","Disturbed","Fall19","1",0
"Alotanypus","Disturbed","Fall19","2",0
"Alotanypus","Disturbed","Fall19","3",0
"Alotanypus","Disturbed","Fall19","4",0
"Alotanypus","Disturbed","Fall19","5",0
"Alotanypus","Disturbed","Spring20","1",2.14179837
"Alotanypus","Disturbed","Spring20","2",0
"Alotanypus","Disturbed","Spring20","3",0.971777845
"Alotanypus","Disturbed","Spring20","4",0
"Alotanypus","Disturbed","Spring20","5",0
"Alotanypus","Disturbed","Summer19","1",0
"Alotanypus","Disturbed","Summer19","2",0
"Alotanypus","Disturbed","Summer19","3",0
"Alotanypus","Disturbed","Summer19","4",0
"Alotanypus","Disturbed","Summer19","5",0
"Alotanypus","Disturbed","Winter20","1",0
"Alotanypus","Disturbed","Winter20","2",0
"Alotanypus","Disturbed","Winter20","3",0
"Alotanypus","Disturbed","Winter20","4",0
"Alotanypus","Disturbed","Winter20","5",0
"Ameletus","Disturbed","Fall19","1",0
"Ameletus","Disturbed","Fall19","2",0
"Ameletus","Disturbed","Fall19","3",0
"Ameletus","Disturbed","Fall19","4",0
"Ameletus","Disturbed","Fall19","5",0
"Ameletus","Disturbed","Spring20","1",0
"Ameletus","Disturbed","Spring20","2",0
"Ameletus","Disturbed","Spring20","3",0
"Ameletus","Disturbed","Spring20","4",0
"Ameletus","Disturbed","Spring20","5",0
"Ameletus","Disturbed","Summer19","1",0
"Ameletus","Disturbed","Summer19","2",0
"Ameletus","Disturbed","Summer19","3",0
"Ameletus","Disturbed","Summer19","4",0
"Ameletus","Disturbed","Summer19","5",0
"Ameletus","Disturbed","Winter20","1",0
"Ameletus","Disturbed","Winter20","2",0
"Ameletus","Disturbed","Winter20","3",3.173158561
"Ameletus","Disturbed","Winter20","4",0
"Ameletus","Disturbed","Winter20","5",0
"Amiocentrus aspilus","Disturbed","Fall19","1",0
"Amiocentrus aspilus","Disturbed","Fall19","2",0
"Amiocentrus aspilus","Disturbed","Fall19","3",0
"Amiocentrus aspilus","Disturbed","Fall19","4",0
"Amiocentrus aspilus","Disturbed","Fall19","5",0
"Amiocentrus aspilus","Disturbed","Spring20","1",0
"Amiocentrus aspilus","Disturbed","Spring20","2",0.187550419
"Amiocentrus aspilus","Disturbed","Spring20","3",0
"Amiocentrus aspilus","Disturbed","Spring20","4",0
"Amiocentrus aspilus","Disturbed","Spring20","5",0
"Amiocentrus aspilus","Disturbed","Summer19","1",0
"Amiocentrus aspilus","Disturbed","Summer19","2",0
"Amiocentrus aspilus","Disturbed","Summer19","3",0
"Amiocentrus aspilus","Disturbed","Summer19","4",0
"Amiocentrus aspilus","Disturbed","Summer19","5",0
"Amiocentrus aspilus","Disturbed","Winter20","1",0
