"Treatment","Substrate","Date","Taxon","Stage","Insect","Origin","Order","Family","Season","Replicate","Biomass"
"Disturbed","Benthic",2019-07-10,"Simulium","L","insect","Aquatic","Diptera","Simuliidae","Summer19","1",2.87952256
"Disturbed","Benthic",2019-07-10,"Simulium","L","insect","Aquatic","Diptera","Simuliidae","Summer19","2",0.477042235
"Disturbed","Benthic",2019-07-10,"Simulium","L","insect","Aquatic","Diptera","Simuliidae","Summer19","3",0
"Disturbed","Benthic",2019-07-10,"Simulium","L","insect","Aquatic","Diptera","Simuliidae","Summer19","4",17.42867654
"Disturbed","Benthic",2019-07-10,"Simulium","L","insect","Aquatic","Diptera","Simuliidae","Summer19","5",45.94755258
"Disturbed","Benthic",2019-07-10,"Arctopsyche","L","insect","Aquatic","Trichoptera","Hydropsychidae","Summer19","1",0.783389611
"Disturbed","Benthic",2019-07-10,"Arctopsyche","L","insect","Aquatic","Trichoptera","Hydropsychidae","Summer19","2",0
"Disturbed","Benthic",2019-07-10,"Arctopsyche","L","insect","Aquatic","Trichoptera","Hydropsychidae","Summer19","3",0
"Disturbed","Benthic",2019-07-10,"Arctopsyche","L","insect","Aquatic","Trichoptera","Hydropsychidae","Summer19","4",0
"Disturbed","Benthic",2019-07-10,"Arctopsyche","L","insect","Aquatic","Trichoptera","Hydropsychidae","Summer19","5",0
"Disturbed","Benthic",2019-07-10,"Hydropsyche","L","insect","Aquatic","Trichoptera","Hydropsychidae","Summer19","1",10.58186314
"Disturbed","Benthic",2019-07-10,"Hydropsyche","L","insect","Aquatic","Trichoptera","Hydropsychidae","Summer19","2",0
"Disturbed","Benthic",2019-07-10,"Hydropsyche","L","insect","Aquatic","Trichoptera","Hydropsychidae","Summer19","3",6.687227028
"Disturbed","Benthic",2019-07-10,"Hydropsyche","L","insect","Aquatic","Trichoptera","Hydropsychidae","Summer19","4",34.88302425
"Disturbed","Benthic",2019-07-10,"Hydropsyche","L","insect","Aquatic","Trichoptera","Hydropsychidae","Summer19","5",988.8135399
"Disturbed","Benthic",2019-07-10,"Allocosmoecus partitus","L","insect","Aquatic","Trichoptera","Limnephilidae","Summer19","1",35.75275808
"Disturbed","Benthic",2019-07-10,"Allocosmoecus partitus","L","insect","Aquatic","Trichoptera","Limnephilidae","Summer19","2",0
"Disturbed","Benthic",2019-07-10,"Allocosmoecus partitus","L","insect","Aquatic","Trichoptera","Limnephilidae","Summer19","3",0
"Disturbed","Benthic",2019-07-10,"Allocosmoecus partitus","L","insect","Aquatic","Trichoptera","Limnephilidae","Summer19","4",0
"Disturbed","Benthic",2019-07-10,"Allocosmoecus partitus","L","insect","Aquatic","Trichoptera","Limnephilidae","Summer19","5",0
"Disturbed","Benthic",2019-07-10,"Dicosmoecus gilvipes","L","insect","Aquatic","Trichoptera","Limnephilidae","Summer19","1",80.60055261
"Disturbed","Benthic",2019-07-10,"Dicosmoecus gilvipes","L","insect","Aquatic","Trichoptera","Limnephilidae","Summer19","2",120.9008289
"Disturbed","Benthic",2019-07-10,"Dicosmoecus gilvipes","L","insect","Aquatic","Trichoptera","Limnephilidae","Summer19","3",128.7110252
"Disturbed","Benthic",2019-07-10,"Dicosmoecus gilvipes","L","insect","Aquatic","Trichoptera","Limnephilidae","Summer19","4",18.01914956
"Disturbed","Benthic",2019-07-10,"Dicosmoecus gilvipes","L","insect","Aquatic","Trichoptera","Limnephilidae","Summer19","5",869.5070765
"Disturbed","Benthic",2019-07-10,"Onocosmoecus unicolor","L","insect","Aquatic","Trichoptera","Limnephilidae","Summer19","1",332.1431226
"Disturbed","Benthic",2019-07-10,"Onocosmoecus unicolor","L","insect","Aquatic","Trichoptera","Limnephilidae","Summer19","2",112.1576988
"Disturbed","Benthic",2019-07-10,"Onocosmoecus unicolor","L","insect","Aquatic","Trichoptera","Limnephilidae","Summer19","3",76.77050881
"Disturbed","Benthic",2019-07-10,"Onocosmoecus unicolor","L","insect","Aquatic","Trichoptera","Limnephilidae","Summer19","4",203.6016494
"Disturbed","Benthic",2019-07-10,"Onocosmoecus unicolor","L","insect","Aquatic","Trichoptera","Limnephilidae","Summer19","5",980.1027198
"Disturbed","Benthic",2019-07-10,"Rhyacophila brunnea/vemna group","L","insect","Aquatic","Trichoptera","Rhyacophilidae","Summer19","1",2.330582944
"Disturbed","Benthic",2019-07-10,"Rhyacophila brunnea/vemna group","L","insect","Aquatic","Trichoptera","Rhyacophilidae","Summer19","2",0
"Disturbed","Benthic",2019-07-10,"Rhyacophila brunnea/vemna group","L","insect","Aquatic","Trichoptera","Rhyacophilidae","Summer19","3",0
"Disturbed","Benthic",2019-07-10,"Rhyacophila brunnea/vemna group","L","insect","Aquatic","Trichoptera","Rhyacophilidae","Summer19","4",0
