"Taxon","Treatment","Season","Replicate","Biomass"
"Acentrella","Disturbed","Fall19","1",0
"Acentrella","Disturbed","Fall19","2",0
"Acentrella","Disturbed","Fall19","3",0
"Acentrella","Disturbed","Spring20","1",0.0321308
"Acentrella","Disturbed","Spring20","2",0.0160654
"Acentrella","Disturbed","Spring20","3",0.065059356
"Acentrella","Disturbed","Summer19","1",0
"Acentrella","Disturbed","Summer19","2",0.393710257
"Acentrella","Disturbed","Summer19","3",0
"Acentrella","Disturbed","Winter20","1",0
"Acentrella","Disturbed","Winter20","2",0
"Acentrella","Disturbed","Winter20","3",0
"Agraylea","Disturbed","Fall19","1",0
"Agraylea","Disturbed","Fall19","2",0
"Agraylea","Disturbed","Fall19","3",2.681114349
"Agraylea","Disturbed","Spring20","1",0
"Agraylea","Disturbed","Spring20","2",0
"Agraylea","Disturbed","Spring20","3",0
"Agraylea","Disturbed","Summer19","1",0
"Agraylea","Disturbed","Summer19","2",0
"Agraylea","Disturbed","Summer19","3",0
"Agraylea","Disturbed","Winter20","1",0
"Agraylea","Disturbed","Winter20","2",0
"Agraylea","Disturbed","Winter20","3",0
"Ameletus","Disturbed","Fall19","1",0
"Ameletus","Disturbed","Fall19","2",0
"Ameletus","Disturbed","Fall19","3",7.982303955
"Ameletus","Disturbed","Spring20","1",2.655171807
"Ameletus","Disturbed","Spring20","2",6.078163749
"Ameletus","Disturbed","Spring20","3",19.53258864
"Ameletus","Disturbed","Summer19","1",0
"Ameletus","Disturbed","Summer19","2",0
"Ameletus","Disturbed","Summer19","3",0
"Ameletus","Disturbed","Winter20","1",0
"Ameletus","Disturbed","Winter20","2",0
"Ameletus","Disturbed","Winter20","3",0
"Amiocentrus aspilus","Disturbed","Fall19","1",0
"Amiocentrus aspilus","Disturbed","Fall19","2",0
"Amiocentrus aspilus","Disturbed","Fall19","3",0
"Amiocentrus aspilus","Disturbed","Spring20","1",0.043452997
"Amiocentrus aspilus","Disturbed","Spring20","2",0
"Amiocentrus aspilus","Disturbed","Spring20","3",0
"Amiocentrus aspilus","Disturbed","Summer19","1",0
"Amiocentrus aspilus","Disturbed","Summer19","2",0
"Amiocentrus aspilus","Disturbed","Summer19","3",0
"Amiocentrus aspilus","Disturbed","Winter20","1",0
"Amiocentrus aspilus","Disturbed","Winter20","2",0
"Amiocentrus aspilus","Disturbed","Winter20","3",0
"Amphizoa","Disturbed","Fall19","1",0
"Amphizoa","Disturbed","Fall19","2",0
"Amphizoa","Disturbed","Fall19","3",1.849530723
"Amphizoa","Disturbed","Spring20","1",0
"Amphizoa","Disturbed","Spring20","2",0
"Amphizoa","Disturbed","Spring20","3",0
"Amphizoa","Disturbed","Summer19","1",0
"Amphizoa","Disturbed","Summer19","2",0
"Amphizoa","Disturbed","Summer19","3",0
"Amphizoa","Disturbed","Winter20","1",0
"Amphizoa","Disturbed","Winter20","2",0
"Amphizoa","Disturbed","Winter20","3",0
"Ampumixis dispar","Disturbed","Fall19","1",2.17676278
"Ampumixis dispar","Disturbed","Fall19","2",1.37032035
"Ampumixis dispar","Disturbed","Fall19","3",5.349951666
"Ampumixis dispar","Disturbed","Spring20","1",0
"Ampumixis dispar","Disturbed","Spring20","2",2.048990143
"Ampumixis dispar","Disturbed","Spring20","3",0.221532167
"Ampumixis dispar","Disturbed","Summer19","1",8.037882562
"Ampumixis dispar","Disturbed","Summer19","2",2.756270777
"Ampumixis dispar","Disturbed","Summer19","3",4.678207972
"Ampumixis dispar","Disturbed","Winter20","1",0
"Ampumixis dispar","Disturbed","Winter20","2",1.109076808
"Ampumixis dispar","Disturbed","Winter20","3",0
"Anafroptilum","Disturbed","Fall19","1",0
"Anafroptilum","Disturbed","Fall19","2",0
"Anafroptilum","Disturbed","Fall19","3",0
"Anafroptilum","Disturbed","Spring20","1",0
"Anafroptilum","Disturbed","Spring20","2",0
"Anafroptilum","Disturbed","Spring20","3",0.064931222
"Anafroptilum","Disturbed","Summer19","1",0
"Anafroptilum","Disturbed","Summer19","2",0
"Anafroptilum","Disturbed","Summer19","3",0
"Anafroptilum","Disturbed","Winter20","1",0
"Anafroptilum","Disturbed","Winter20","2",0
"Anafroptilum","Disturbed","Winter20","3",0
"Antocha","Disturbed","Fall19","1",0
"Antocha","Disturbed","Fall19","2",0.031058172
"Antocha","Disturbed","Fall19","3",0.408800688
"Antocha","Disturbed","Spring20","1",0
"Antocha","Disturbed","Spring20","2",0
"Antocha","Disturbed","Spring20","3",0
"Antocha","Disturbed","Summer19","1",0
"Antocha","Disturbed","Summer19","2",0
"Antocha","Disturbed","Summer19","3",0
"Antocha","Disturbed","Winter20","1",0
"Antocha","Disturbed","Winter20","2",0.092103589
"Antocha","Disturbed","Winter20","3",0
"Arctopsyche","Disturbed","Fall19","1",0
"Arctopsyche","Disturbed","Fall19","2",0
"Arctopsyche","Disturbed","Fall19","3",0
"Arctopsyche","Disturbed","Spring20","1",0
"Arctopsyche","Disturbed","Spring20","2",0
"Arctopsyche","Disturbed","Spring20","3",0
"Arctopsyche","Disturbed","Summer19","1",0
"Arctopsyche","Disturbed","Summer19","2",0
"Arctopsyche","Disturbed","Summer19","3",0.887425355
"Arctopsyche","Disturbed","Winter20","1",0
"Arctopsyche","Disturbed","Winter20","2",0
"Arctopsyche","Disturbed","Winter20","3",0
"Atractides","Disturbed","Fall19","1",0
"Atractides","Disturbed","Fall19","2",0
"Atractides","Disturbed","Fall19","3",0
"Atractides","Disturbed","Spring20","1",0
"Atractides","Disturbed","Spring20","2",0
"Atractides","Disturbed","Spring20","3",0
"Atractides","Disturbed","Summer19","1",0
"Atractides","Disturbed","Summer19","2",0
"Atractides","Disturbed","Summer19","3",0.17702
"Atractides","Disturbed","Winter20","1",0
"Atractides","Disturbed","Winter20","2",0
"Atractides","Disturbed","Winter20","3",0
"Attenella delantala","Disturbed","Fall19","1",0.199729014
"Attenella delantala","Disturbed","Fall19","2",0
"Attenella delantala","Disturbed","Fall19","3",0.146204791
"Attenella delantala","Disturbed","Spring20","1",0
"Attenella delantala","Disturbed","Spring20","2",0
"Attenella delantala","Disturbed","Spring20","3",0.702532197
"Attenella delantala","Disturbed","Summer19","1",0
"Attenella delantala","Disturbed","Summer19","2",0
"Attenella delantala","Disturbed","Summer19","3",0
"Attenella delantala","Disturbed","Winter20","1",2.809302716
"Attenella delantala","Disturbed","Winter20","2",0
"Attenella delantala","Disturbed","Winter20","3",0
"Attenella margarita","Disturbed","Fall19","1",0
"Attenella margarita","Disturbed","Fall19","2",0
"Attenella margarita","Disturbed","Fall19","3",0
"Attenella margarita","Disturbed","Spring20","1",0
"Attenella margarita","Disturbed","Spring20","2",0
"Attenella margarita","Disturbed","Spring20","3",0
"Attenella margarita","Disturbed","Summer19","1",0
"Attenella margarita","Disturbed","Summer19","2",0.315286913
"Attenella margarita","Disturbed","Summer19","3",0
"Attenella margarita","Disturbed","Winter20","1",0
"Attenella margarita","Disturbed","Winter20","2",0
"Attenella margarita","Disturbed","Winter20","3",0
"Baetis alius","Disturbed","Fall19","1",0
"Baetis alius","Disturbed","Fall19","2",0
"Baetis alius","Disturbed","Fall19","3",0
"Baetis alius","Disturbed","Spring20","1",0
"Baetis alius","Disturbed","Spring20","2",0
"Baetis alius","Disturbed","Spring20","3",0.008851
"Baetis alius","Disturbed","Summer19","1",1.610464313
"Baetis alius","Disturbed","Summer19","2",69.14048862
"Baetis alius","Disturbed","Summer19","3",95.37315296
"Baetis alius","Disturbed","Winter20","1",0
"Baetis alius","Disturbed","Winter20","2",0
"Baetis alius","Disturbed","Winter20","3",0
"Baetis tricaudatus complex","Disturbed","Fall19","1",34.27292893
"Baetis tricaudatus complex","Disturbed","Fall19","2",35.27994961
"Baetis tricaudatus complex","Disturbed","Fall19","3",76.60594743
"Baetis tricaudatus complex","Disturbed","Spring20","1",11.57600208
"Baetis tricaudatus complex","Disturbed","Spring20","2",5.344198854
"Baetis tricaudatus complex","Disturbed","Spring20","3",9.785056885
"Baetis tricaudatus complex","Disturbed","Summer19","1",78.38040715
"Baetis tricaudatus complex","Disturbed","Summer19","2",32.85049935
"Baetis tricaudatus complex","Disturbed","Summer19","3",0
"Baetis tricaudatus complex","Disturbed","Winter20","1",23.38573025
"Baetis tricaudatus complex","Disturbed","Winter20","2",0
"Baetis tricaudatus complex","Disturbed","Winter20","3",10.64427627
"Boreoheptagyia","Disturbed","Fall19","1",0
"Boreoheptagyia","Disturbed","Fall19","2",0.221299625
"Boreoheptagyia","Disturbed","Fall19","3",0.095397266
"Boreoheptagyia","Disturbed","Spring20","1",0
"Boreoheptagyia","Disturbed","Spring20","2",0
"Boreoheptagyia","Disturbed","Spring20","3",0
"Boreoheptagyia","Disturbed","Summer19","1",0.094849556
"Boreoheptagyia","Disturbed","Summer19","2",0
"Boreoheptagyia","Disturbed","Summer19","3",0
"Boreoheptagyia","Disturbed","Winter20","1",0
"Boreoheptagyia","Disturbed","Winter20","2",0
"Boreoheptagyia","Disturbed","Winter20","3",0
"Brachycentrus americanus","Disturbed","Fall19","1",0.163446948
"Brachycentrus americanus","Disturbed","Fall19","2",0
"Brachycentrus americanus","Disturbed","Fall19","3",0.089711954
"Brachycentrus americanus","Disturbed","Spring20","1",0
"Brachycentrus americanus","Disturbed","Spring20","2",1.994487115
"Brachycentrus americanus","Disturbed","Spring20","3",2.129316407
"Brachycentrus americanus","Disturbed","Summer19","1",68.72561157
"Brachycentrus americanus","Disturbed","Summer19","2",0
"Brachycentrus americanus","Disturbed","Summer19","3",0
"Brachycentrus americanus","Disturbed","Winter20","1",0
"Brachycentrus americanus","Disturbed","Winter20","2",0.097895771
"Brachycentrus americanus","Disturbed","Winter20","3",0.281289702
"Brachycentrus occidentalis","Disturbed","Fall19","1",0
"Brachycentrus occidentalis","Disturbed","Fall19","2",0
"Brachycentrus occidentalis","Disturbed","Fall19","3",0
"Brachycentrus occidentalis","Disturbed","Spring20","1",0
"Brachycentrus occidentalis","Disturbed","Spring20","2",0
"Brachycentrus occidentalis","Disturbed","Spring20","3",0
"Brachycentrus occidentalis","Disturbed","Summer19","1",0.87895984
"Brachycentrus occidentalis","Disturbed","Summer19","2",0
"Brachycentrus occidentalis","Disturbed","Summer19","3",0
"Brachycentrus occidentalis","Disturbed","Winter20","1",0
"Brachycentrus occidentalis","Disturbed","Winter20","2",0
"Brachycentrus occidentalis","Disturbed","Winter20","3",0
