"Treatment","Substrate","Date","Taxon","Stage","Insect","Origin","Order","Family","Season","Replicate","Biomass"
"Disturbed","Submerged Wood",2019-07-10,"Simulium","L","insect","Aquatic","Diptera","Simuliidae","Summer19","1",35.38283723
"Disturbed","Submerged Wood",2019-07-10,"Simulium","L","insect","Aquatic","Diptera","Simuliidae","Summer19","2",6.229430032
"Disturbed","Submerged Wood",2019-07-10,"Simulium","L","insect","Aquatic","Diptera","Simuliidae","Summer19","3",6.219714714
"Disturbed","Submerged Wood",2019-07-10,"Brachycentrus americanus","L","insect","Aquatic","Trichoptera","Brachycentridae","Summer19","1",57.14700013
"Disturbed","Submerged Wood",2019-07-10,"Brachycentrus americanus","L","insect","Aquatic","Trichoptera","Brachycentridae","Summer19","2",0
"Disturbed","Submerged Wood",2019-07-10,"Brachycentrus americanus","L","insect","Aquatic","Trichoptera","Brachycentridae","Summer19","3",0
"Disturbed","Submerged Wood",2019-07-10,"Brachycentrus occidentalis","L","insect","Aquatic","Trichoptera","Brachycentridae","Summer19","1",0.87895984
"Disturbed","Submerged Wood",2019-07-10,"Brachycentrus occidentalis","L","insect","Aquatic","Trichoptera","Brachycentridae","Summer19","2",0
"Disturbed","Submerged Wood",2019-07-10,"Brachycentrus occidentalis","L","insect","Aquatic","Trichoptera","Brachycentridae","Summer19","3",0
"Disturbed","Submerged Wood",2019-07-10,"Micrasema","L","insect","Aquatic","Trichoptera","Brachycentridae","Summer19","1",4.609846744
"Disturbed","Submerged Wood",2019-07-10,"Micrasema","L","insect","Aquatic","Trichoptera","Brachycentridae","Summer19","2",1.349225915
"Disturbed","Submerged Wood",2019-07-10,"Micrasema","L","insect","Aquatic","Trichoptera","Brachycentridae","Summer19","3",0
"Disturbed","Submerged Wood",2019-07-10,"Hydropsyche","L","insect","Aquatic","Trichoptera","Hydropsychidae","Summer19","1",13.95958642
"Disturbed","Submerged Wood",2019-07-10,"Hydropsyche","L","insect","Aquatic","Trichoptera","Hydropsychidae","Summer19","2",0
"Disturbed","Submerged Wood",2019-07-10,"Hydropsyche","L","insect","Aquatic","Trichoptera","Hydropsychidae","Summer19","3",34.67966798
"Disturbed","Submerged Wood",2019-07-10,"Ochrotrichia","L","insect","Aquatic","Trichoptera","Hydroptilidae","Summer19","1",0.583356012
"Disturbed","Submerged Wood",2019-07-10,"Ochrotrichia","L","insect","Aquatic","Trichoptera","Hydroptilidae","Summer19","2",0
"Disturbed","Submerged Wood",2019-07-10,"Ochrotrichia","L","insect","Aquatic","Trichoptera","Hydroptilidae","Summer19","3",10.52338451
"Disturbed","Submerged Wood",2019-07-10,"Rhyacophila brunnea/vemna group","L","insect","Aquatic","Trichoptera","Rhyacophilidae","Summer19","1",1.573717641
"Disturbed","Submerged Wood",2019-07-10,"Rhyacophila brunnea/vemna group","L","insect","Aquatic","Trichoptera","Rhyacophilidae","Summer19","2",0.060104865
"Disturbed","Submerged Wood",2019-07-10,"Rhyacophila brunnea/vemna group","L","insect","Aquatic","Trichoptera","Rhyacophilidae","Summer19","3",1.283349427
"Disturbed","Submerged Wood",2019-07-10,"Dicranomyia","L","insect","Aquatic","Diptera","Tipulidae","Summer19","1",2.747622892
"Disturbed","Submerged Wood",2019-07-10,"Dicranomyia","L","insect","Aquatic","Diptera","Tipulidae","Summer19","2",0
"Disturbed","Submerged Wood",2019-07-10,"Dicranomyia","L","insect","Aquatic","Diptera","Tipulidae","Summer19","3",0
"Disturbed","Submerged Wood",2019-07-10,"Clinocera","L","insect","Aquatic","Diptera","Empididae","Summer19","1",1.081548518
"Disturbed","Submerged Wood",2019-07-10,"Clinocera","L","insect","Aquatic","Diptera","Empididae","Summer19","2",0.414806454
"Disturbed","Submerged Wood",2019-07-10,"Clinocera","L","insect","Aquatic","Diptera","Empididae","Summer19","3",1.286822327
"Disturbed","Submerged Wood",2019-07-10,"Baetis alius","L","insect","Aquatic","Ephemeroptera","Baetidae","Summer19","1",1.610464313
"Disturbed","Submerged Wood",2019-07-10,"Baetis alius","L","insect","Aquatic","Ephemeroptera","Baetidae","Summer19","2",69.14048862
"Disturbed","Submerged Wood",2019-07-10,"Baetis alius","L","insect","Aquatic","Ephemeroptera","Baetidae","Summer19","3",95.37315296
"Disturbed","Submerged Wood",2019-07-10,"Baetis tricaudatus complex","L","insect","Aquatic","Ephemeroptera","Baetidae","Summer19","1",78.38040715
"Disturbed","Submerged Wood",2019-07-10,"Baetis tricaudatus complex","L","insect","Aquatic","Ephemeroptera","Baetidae","Summer19","2",32.85049935
"Disturbed","Submerged Wood",2019-07-10,"Baetis tricaudatus complex","L","insect","Aquatic","Ephemeroptera","Baetidae","Summer19","3",0
"Disturbed","Submerged Wood",2019-07-10,"Caudatella heterocaudata","L","insect","Aquatic","Ephemeroptera","Ephemerellidae","Summer19","1",5.972939899
"Disturbed","Submerged Wood",2019-07-10,"Caudatella heterocaudata","L","insect","Aquatic","Ephemeroptera","Ephemerellidae","Summer19","2",0
"Disturbed","Submerged Wood",2019-07-10,"Caudatella heterocaudata","L","insect","Aquatic","Ephemeroptera","Ephemerellidae","Summer19","3",4.489753535
"Disturbed","Submerged Wood",2019-07-10,"Drunella grandis/spinifera","L","insect","Aquatic","Ephemeroptera","Ephemerellidae","Summer19","1",29.33683472
"Disturbed","Submerged Wood",2019-07-10,"Drunella grandis/spinifera","L","insect","Aquatic","Ephemeroptera","Ephemerellidae","Summer19","2",0
"Disturbed","Submerged Wood",2019-07-10,"Drunella grandis/spinifera","L","insect","Aquatic","Ephemeroptera","Ephemerellidae","Summer19","3",0.173070612
"Disturbed","Submerged Wood",2019-07-10,"Ephemerella tibialis","L","insect","Aquatic","Ephemeroptera","Ephemerellidae","Summer19","1",1.976517191
"Disturbed","Submerged Wood",2019-07-10,"Ephemerella tibialis","L","insect","Aquatic","Ephemeroptera","Ephemerellidae","Summer19","2",0
"Disturbed","Submerged Wood",2019-07-10,"Ephemerella tibialis","L","insect","Aquatic","Ephemeroptera","Ephemerellidae","Summer19","3",9.004273481
"Disturbed","Submerged Wood",2019-07-10,"Matriella teresa","L","insect","Aquatic","Ephemeroptera","Ephemerellidae","Summer19","1",1.976517191
"Disturbed","Submerged Wood",2019-07-10,"Matriella teresa","L","insect","Aquatic","Ephemeroptera","Ephemerellidae","Summer19","2",0
"Disturbed","Submerged Wood",2019-07-10,"Matriella teresa","L","insect","Aquatic","Ephemeroptera","Ephemerellidae","Summer19","3",0
"Disturbed","Submerged Wood",2019-07-10,"Epeorus longimanus","L","insect","Aquatic","Ephemeroptera","Heptageniidae","Summer19","1",7.658154038
"Disturbed","Submerged Wood",2019-07-10,"Epeorus longimanus","L","insect","Aquatic","Ephemeroptera","Heptageniidae","Summer19","2",0
"Disturbed","Submerged Wood",2019-07-10,"Epeorus longimanus","L","insect","Aquatic","Ephemeroptera","Heptageniidae","Summer19","3",0
"Disturbed","Submerged Wood",2019-07-10,"Polypedilum","L","insect","Aquatic","Diptera","Chironomidae: Chironominae","Summer19","1",1.101574929
"Disturbed","Submerged Wood",2019-07-10,"Polypedilum","L","insect","Aquatic","Diptera","Chironomidae: Chironominae","Summer19","2",1.292102169
"Disturbed","Submerged Wood",2019-07-10,"Polypedilum","L","insect","Aquatic","Diptera","Chironomidae: Chironominae","Summer19","3",0.40571725
"Disturbed","Submerged Wood",2019-07-10,"Micropsectra","L","insect","Aquatic","Diptera","Chironomidae: Chironominae: Tanytarsini","Summer19","1",0.793816353
"Disturbed","Submerged Wood",2019-07-10,"Micropsectra","L","insect","Aquatic","Diptera","Chironomidae: Chironominae: Tanytarsini","Summer19","2",0.195602755
"Disturbed","Submerged Wood",2019-07-10,"Micropsectra","L","insect","Aquatic","Diptera","Chironomidae: Chironominae: Tanytarsini","Summer19","3",0.559094813
"Disturbed","Submerged Wood",2019-07-10,"Paratanytarsus","L","insect","Aquatic","Diptera","Chironomidae: Chironominae: Tanytarsini","Summer19","1",0.065649961
"Disturbed","Submerged Wood",2019-07-10,"Paratanytarsus","L","insect","Aquatic","Diptera","Chironomidae: Chironominae: Tanytarsini","Summer19","2",0.092131956
