site,taxon,season,replicate,biomass
alpha,mayfly,winter,1,1
alpha,mayfly,winter,2,3
alpha,mayfly,winter,3,0
alpha,mayfly,winter,4,5
alpha,mayfly,winter,5,2
alpha,mayfly,spring,1,7
alpha,mayfly,spring,2,0
alpha,mayfly,spring,3,9
alpha,mayfly,spring,4,6
alpha,mayfly,spring,5,0
alpha,mayfly,summer,1,0
alpha,mayfly,summer,2,0
alpha,mayfly,summer,3,0
alpha,mayfly,summer,4,0
alpha,mayfly,summer,5,0
alpha,mayfly,fall,1,0
alpha,mayfly,fall,2,4
alpha,mayfly,fall,3,0
alpha,mayfly,fall,4,8
alpha,mayfly,fall,5,2
alpha,caddislfy,winter,1,1
alpha,caddislfy,winter,2,3
alpha,caddislfy,winter,3,0
alpha,caddislfy,winter,4,5
alpha,caddislfy,winter,5,2
alpha,caddislfy,spring,1,7
alpha,caddislfy,spring,2,0
alpha,caddislfy,spring,3,9
alpha,caddislfy,spring,4,6
alpha,caddislfy,spring,5,0
alpha,caddislfy,summer,1,0
alpha,caddislfy,summer,2,0
alpha,caddislfy,summer,3,0
alpha,caddislfy,summer,4,0
alpha,caddislfy,summer,5,0
alpha,caddislfy,fall,1,0
alpha,caddislfy,fall,2,4
alpha,caddislfy,fall,3,0
alpha,caddislfy,fall,4,8
alpha,caddislfy,fall,5,2
