site,taxon,season,replicate,biomass
alpha,stonefly,winter,1,5
alpha,stonefly,winter,2,4
alpha,stonefly,winter,3,2
alpha,stonefly,winter,4,1
alpha,stonefly,winter,5,0
alpha,stonefly,spring,1,7
alpha,stonefly,spring,2,5
alpha,stonefly,spring,3,6
alpha,stonefly,spring,4,9
alpha,stonefly,spring,5,3
alpha,stonefly,summer,1,2
alpha,stonefly,summer,2,0
alpha,stonefly,summer,3,8
alpha,stonefly,summer,4,3
alpha,stonefly,summer,5,2
alpha,stonefly,fall,1,4
alpha,stonefly,fall,2,9
alpha,stonefly,fall,3,0
alpha,stonefly,fall,4,9
alpha,stonefly,fall,5,1
alpha,mayfly,winter,1,3
alpha,mayfly,winter,2,6
alpha,mayfly,winter,3,1
alpha,mayfly,winter,4,0
alpha,mayfly,winter,5,2
alpha,mayfly,spring,1,0
alpha,mayfly,spring,2,1
alpha,mayfly,spring,3,7
alpha,mayfly,spring,4,9
alpha,mayfly,spring,5,5
alpha,mayfly,summer,1,8
alpha,mayfly,summer,2,0
alpha,mayfly,summer,3,7
alpha,mayfly,summer,4,2
alpha,mayfly,summer,5,3
alpha,mayfly,fall,1,6
alpha,mayfly,fall,2,4
alpha,mayfly,fall,3,1
alpha,mayfly,fall,4,5
alpha,mayfly,fall,5,6
alpha,cadissfly,winter,1,2
alpha,cadissfly,winter,2,0
alpha,cadissfly,winter,3,4
alpha,cadissfly,winter,4,6
alpha,cadissfly,winter,5,9
alpha,cadissfly,spring,1,7
alpha,cadissfly,spring,2,0
alpha,cadissfly,spring,3,2
alpha,cadissfly,spring,4,3
alpha,cadissfly,spring,5,8
alpha,cadissfly,summer,1,7
alpha,cadissfly,summer,2,9
alpha,cadissfly,summer,3,6
alpha,cadissfly,summer,4,3
alpha,cadissfly,summer,5,8
alpha,cadissfly,fall,1,0
alpha,cadissfly,fall,2,5
alpha,cadissfly,fall,3,1
alpha,cadissfly,fall,4,7
alpha,cadissfly,fall,5,3
