"Taxon","Treatment","Season","Replicate","Biomass"
"Ablabesmyia","Flooded Forest","Fall19","1",0
"Ablabesmyia","Flooded Forest","Fall19","2",0
"Ablabesmyia","Flooded Forest","Fall19","3",0
"Ablabesmyia","Flooded Forest","Fall19","4",0
"Ablabesmyia","Flooded Forest","Fall19","5",0
"Ablabesmyia","Flooded Forest","Spring20","1",0
"Ablabesmyia","Flooded Forest","Spring20","2",0
"Ablabesmyia","Flooded Forest","Spring20","3",0
"Ablabesmyia","Flooded Forest","Spring20","4",0
"Ablabesmyia","Flooded Forest","Spring20","5",0
"Ablabesmyia","Flooded Forest","Summer19","1",0
"Ablabesmyia","Flooded Forest","Summer19","2",0
"Ablabesmyia","Flooded Forest","Summer19","3",0
"Ablabesmyia","Flooded Forest","Summer19","4",0
"Ablabesmyia","Flooded Forest","Summer19","5",0
"Ablabesmyia","Flooded Forest","Winter20","1",0
"Ablabesmyia","Flooded Forest","Winter20","2",0
"Ablabesmyia","Flooded Forest","Winter20","3",0
"Ablabesmyia","Flooded Forest","Winter20","4",0.621354754
"Ablabesmyia","Flooded Forest","Winter20","5",3.917236492
"Acentrella","Flooded Forest","Fall19","1",0
"Acentrella","Flooded Forest","Fall19","2",0
"Acentrella","Flooded Forest","Fall19","3",0
"Acentrella","Flooded Forest","Fall19","4",0
"Acentrella","Flooded Forest","Fall19","5",0
"Acentrella","Flooded Forest","Spring20","1",0
"Acentrella","Flooded Forest","Spring20","2",0
"Acentrella","Flooded Forest","Spring20","3",0
"Acentrella","Flooded Forest","Spring20","4",0
"Acentrella","Flooded Forest","Spring20","5",0
"Acentrella","Flooded Forest","Summer19","1",0
"Acentrella","Flooded Forest","Summer19","2",0
"Acentrella","Flooded Forest","Summer19","3",0
"Acentrella","Flooded Forest","Summer19","4",0
"Acentrella","Flooded Forest","Summer19","5",0
"Acentrella","Flooded Forest","Winter20","1",0
"Acentrella","Flooded Forest","Winter20","2",0
"Acentrella","Flooded Forest","Winter20","3",0
"Acentrella","Flooded Forest","Winter20","4",0
"Acentrella","Flooded Forest","Winter20","5",0
"Afghanurus criddlei","Flooded Forest","Fall19","1",0
"Afghanurus criddlei","Flooded Forest","Fall19","2",0
"Afghanurus criddlei","Flooded Forest","Fall19","3",0
"Afghanurus criddlei","Flooded Forest","Fall19","4",0
"Afghanurus criddlei","Flooded Forest","Fall19","5",0
"Afghanurus criddlei","Flooded Forest","Spring20","1",0
"Afghanurus criddlei","Flooded Forest","Spring20","2",0
"Afghanurus criddlei","Flooded Forest","Spring20","3",0
"Afghanurus criddlei","Flooded Forest","Spring20","4",0
"Afghanurus criddlei","Flooded Forest","Spring20","5",0
"Afghanurus criddlei","Flooded Forest","Summer19","1",0
"Afghanurus criddlei","Flooded Forest","Summer19","2",0
"Afghanurus criddlei","Flooded Forest","Summer19","3",0
"Afghanurus criddlei","Flooded Forest","Summer19","4",0
"Afghanurus criddlei","Flooded Forest","Summer19","5",0
"Afghanurus criddlei","Flooded Forest","Winter20","1",0
"Afghanurus criddlei","Flooded Forest","Winter20","2",0
"Afghanurus criddlei","Flooded Forest","Winter20","3",0
"Afghanurus criddlei","Flooded Forest","Winter20","4",0
"Afghanurus criddlei","Flooded Forest","Winter20","5",0
"Agraylea","Flooded Forest","Fall19","1",20.01883567
"Agraylea","Flooded Forest","Fall19","2",0
"Agraylea","Flooded Forest","Fall19","3",0
"Agraylea","Flooded Forest","Fall19","4",0
"Agraylea","Flooded Forest","Fall19","5",0
"Agraylea","Flooded Forest","Spring20","1",0
"Agraylea","Flooded Forest","Spring20","2",0
"Agraylea","Flooded Forest","Spring20","3",0
"Agraylea","Flooded Forest","Spring20","4",0
"Agraylea","Flooded Forest","Spring20","5",0
"Agraylea","Flooded Forest","Summer19","1",0
"Agraylea","Flooded Forest","Summer19","2",0
"Agraylea","Flooded Forest","Summer19","3",0
"Agraylea","Flooded Forest","Summer19","4",0
"Agraylea","Flooded Forest","Summer19","5",0.031136
"Agraylea","Flooded Forest","Winter20","1",0
"Agraylea","Flooded Forest","Winter20","2",0
"Agraylea","Flooded Forest","Winter20","3",0
"Agraylea","Flooded Forest","Winter20","4",0
"Agraylea","Flooded Forest","Winter20","5",0
"Allocosmoecus partitus","Flooded Forest","Fall19","1",0
"Allocosmoecus partitus","Flooded Forest","Fall19","2",0
"Allocosmoecus partitus","Flooded Forest","Fall19","3",0
"Allocosmoecus partitus","Flooded Forest","Fall19","4",0
"Allocosmoecus partitus","Flooded Forest","Fall19","5",0
"Allocosmoecus partitus","Flooded Forest","Spring20","1",0
"Allocosmoecus partitus","Flooded Forest","Spring20","2",0
"Allocosmoecus partitus","Flooded Forest","Spring20","3",0
"Allocosmoecus partitus","Flooded Forest","Spring20","4",0
"Allocosmoecus partitus","Flooded Forest","Spring20","5",0
"Allocosmoecus partitus","Flooded Forest","Summer19","1",0
"Allocosmoecus partitus","Flooded Forest","Summer19","2",0
"Allocosmoecus partitus","Flooded Forest","Summer19","3",0
"Allocosmoecus partitus","Flooded Forest","Summer19","4",0
"Allocosmoecus partitus","Flooded Forest","Summer19","5",0
"Allocosmoecus partitus","Flooded Forest","Winter20","1",0
"Allocosmoecus partitus","Flooded Forest","Winter20","2",0
"Allocosmoecus partitus","Flooded Forest","Winter20","3",0
"Allocosmoecus partitus","Flooded Forest","Winter20","4",0
"Allocosmoecus partitus","Flooded Forest","Winter20","5",0
"Alotanypus","Flooded Forest","Fall19","1",0
"Alotanypus","Flooded Forest","Fall19","2",62.88207334
"Alotanypus","Flooded Forest","Fall19","3",0
"Alotanypus","Flooded Forest","Fall19","4",0
"Alotanypus","Flooded Forest","Fall19","5",0
"Alotanypus","Flooded Forest","Spring20","1",0.639937511
"Alotanypus","Flooded Forest","Spring20","2",0
"Alotanypus","Flooded Forest","Spring20","3",0
"Alotanypus","Flooded Forest","Spring20","4",0
"Alotanypus","Flooded Forest","Spring20","5",0
"Alotanypus","Flooded Forest","Summer19","1",0
"Alotanypus","Flooded Forest","Summer19","2",0
"Alotanypus","Flooded Forest","Summer19","3",0
"Alotanypus","Flooded Forest","Summer19","4",0
"Alotanypus","Flooded Forest","Summer19","5",0
"Alotanypus","Flooded Forest","Winter20","1",0
"Alotanypus","Flooded Forest","Winter20","2",0
"Alotanypus","Flooded Forest","Winter20","3",113.4337223
"Alotanypus","Flooded Forest","Winter20","4",11.71505043
"Alotanypus","Flooded Forest","Winter20","5",121.3583707
"Ameletus","Flooded Forest","Fall19","1",0
