"Treatment","Substrate","Date","Taxon","Stage","Insect","Origin","Order","Family","Season","Replicate","Biomass"
"Flooded Forest","Benthic",2019-07-09,"Simulium","L","insect","Aquatic","Diptera","Simuliidae","Summer19","1",1.456050085
"Flooded Forest","Benthic",2019-07-09,"Simulium","L","insect","Aquatic","Diptera","Simuliidae","Summer19","2",0
"Flooded Forest","Benthic",2019-07-09,"Simulium","L","insect","Aquatic","Diptera","Simuliidae","Summer19","3",0
"Flooded Forest","Benthic",2019-07-09,"Simulium","L","insect","Aquatic","Diptera","Simuliidae","Summer19","4",0
"Flooded Forest","Benthic",2019-07-09,"Simulium","L","insect","Aquatic","Diptera","Simuliidae","Summer19","5",0.037697762
"Flooded Forest","Benthic",2019-07-09,"Glossosoma","L","insect","Aquatic","Trichoptera","Glossosomatidae","Summer19","1",3.284389224
"Flooded Forest","Benthic",2019-07-09,"Glossosoma","L","insect","Aquatic","Trichoptera","Glossosomatidae","Summer19","2",0
"Flooded Forest","Benthic",2019-07-09,"Glossosoma","L","insect","Aquatic","Trichoptera","Glossosomatidae","Summer19","3",0
"Flooded Forest","Benthic",2019-07-09,"Glossosoma","L","insect","Aquatic","Trichoptera","Glossosomatidae","Summer19","4",0
"Flooded Forest","Benthic",2019-07-09,"Glossosoma","L","insect","Aquatic","Trichoptera","Glossosomatidae","Summer19","5",0
"Flooded Forest","Benthic",2019-07-09,"Hydroptila","L","insect","Aquatic","Trichoptera","Hydroptilidae","Summer19","1",2.16047047
"Flooded Forest","Benthic",2019-07-09,"Hydroptila","L","insect","Aquatic","Trichoptera","Hydroptilidae","Summer19","2",0
"Flooded Forest","Benthic",2019-07-09,"Hydroptila","L","insect","Aquatic","Trichoptera","Hydroptilidae","Summer19","3",0.360912556
"Flooded Forest","Benthic",2019-07-09,"Hydroptila","L","insect","Aquatic","Trichoptera","Hydroptilidae","Summer19","4",0
"Flooded Forest","Benthic",2019-07-09,"Hydroptila","L","insect","Aquatic","Trichoptera","Hydroptilidae","Summer19","5",0.64255853
"Flooded Forest","Benthic",2019-07-09,"Psychoglypha bella","L","insect","Aquatic","Trichoptera","Limnephilidae","Summer19","1",1267.619905
"Flooded Forest","Benthic",2019-07-09,"Psychoglypha bella","L","insect","Aquatic","Trichoptera","Limnephilidae","Summer19","2",0
"Flooded Forest","Benthic",2019-07-09,"Psychoglypha bella","L","insect","Aquatic","Trichoptera","Limnephilidae","Summer19","3",375.8581061
"Flooded Forest","Benthic",2019-07-09,"Psychoglypha bella","L","insect","Aquatic","Trichoptera","Limnephilidae","Summer19","4",739.2509192
"Flooded Forest","Benthic",2019-07-09,"Psychoglypha bella","L","insect","Aquatic","Trichoptera","Limnephilidae","Summer19","5",192.5131968
"Flooded Forest","Benthic",2019-07-09,"Rhyacophila brunnea/vemna group","L","insect","Aquatic","Trichoptera","Rhyacophilidae","Summer19","1",100.8842278
"Flooded Forest","Benthic",2019-07-09,"Rhyacophila brunnea/vemna group","L","insect","Aquatic","Trichoptera","Rhyacophilidae","Summer19","2",0
"Flooded Forest","Benthic",2019-07-09,"Rhyacophila brunnea/vemna group","L","insect","Aquatic","Trichoptera","Rhyacophilidae","Summer19","3",0
"Flooded Forest","Benthic",2019-07-09,"Rhyacophila brunnea/vemna group","L","insect","Aquatic","Trichoptera","Rhyacophilidae","Summer19","4",0
"Flooded Forest","Benthic",2019-07-09,"Rhyacophila brunnea/vemna group","L","insect","Aquatic","Trichoptera","Rhyacophilidae","Summer19","5",0
"Flooded Forest","Benthic",2019-07-09,"Clinocera","L","insect","Aquatic","Diptera","Empididae","Summer19","1",38.7478909
"Flooded Forest","Benthic",2019-07-09,"Clinocera","L","insect","Aquatic","Diptera","Empididae","Summer19","2",13.32845453
"Flooded Forest","Benthic",2019-07-09,"Clinocera","L","insect","Aquatic","Diptera","Empididae","Summer19","3",7.644117364
"Flooded Forest","Benthic",2019-07-09,"Clinocera","L","insect","Aquatic","Diptera","Empididae","Summer19","4",63.0534222
"Flooded Forest","Benthic",2019-07-09,"Clinocera","L","insect","Aquatic","Diptera","Empididae","Summer19","5",5.491263881
"Flooded Forest","Benthic",2019-07-09,"Anafroptilum/Procloeon","L","insect","Aquatic","Ephemeroptera","Baetidae","Summer19","1",63.18838989
"Flooded Forest","Benthic",2019-07-09,"Anafroptilum/Procloeon","L","insect","Aquatic","Ephemeroptera","Baetidae","Summer19","2",41.01305149
"Flooded Forest","Benthic",2019-07-09,"Anafroptilum/Procloeon","L","insect","Aquatic","Ephemeroptera","Baetidae","Summer19","3",45.75375721
"Flooded Forest","Benthic",2019-07-09,"Anafroptilum/Procloeon","L","insect","Aquatic","Ephemeroptera","Baetidae","Summer19","4",106.3479107
"Flooded Forest","Benthic",2019-07-09,"Anafroptilum/Procloeon","L","insect","Aquatic","Ephemeroptera","Baetidae","Summer19","5",0
"Flooded Forest","Benthic",2019-07-09,"Baetis alius","L","insect","Aquatic","Ephemeroptera","Baetidae","Summer19","1",163.0818966
"Flooded Forest","Benthic",2019-07-09,"Baetis alius","L","insect","Aquatic","Ephemeroptera","Baetidae","Summer19","2",236.9600154
"Flooded Forest","Benthic",2019-07-09,"Baetis alius","L","insect","Aquatic","Ephemeroptera","Baetidae","Summer19","3",46.74604387
"Flooded Forest","Benthic",2019-07-09,"Baetis alius","L","insect","Aquatic","Ephemeroptera","Baetidae","Summer19","4",0.398483745
"Flooded Forest","Benthic",2019-07-09,"Baetis alius","L","insect","Aquatic","Ephemeroptera","Baetidae","Summer19","5",11.48806187
"Flooded Forest","Benthic",2019-07-09,"Baetis tricaudatus complex","L","insect","Aquatic","Ephemeroptera","Baetidae","Summer19","1",22.87126393
"Flooded Forest","Benthic",2019-07-09,"Baetis tricaudatus complex","L","insect","Aquatic","Ephemeroptera","Baetidae","Summer19","2",4.382606762
"Flooded Forest","Benthic",2019-07-09,"Baetis tricaudatus complex","L","insect","Aquatic","Ephemeroptera","Baetidae","Summer19","3",0
"Flooded Forest","Benthic",2019-07-09,"Baetis tricaudatus complex","L","insect","Aquatic","Ephemeroptera","Baetidae","Summer19","4",0.398483745
"Flooded Forest","Benthic",2019-07-09,"Baetis tricaudatus complex","L","insect","Aquatic","Ephemeroptera","Baetidae","Summer19","5",0.029468
"Flooded Forest","Benthic",2019-07-09,"Drunella grandis/spinifera","L","insect","Aquatic","Ephemeroptera","Ephemerellidae","Summer19","1",0.050616
"Flooded Forest","Benthic",2019-07-09,"Drunella grandis/spinifera","L","insect","Aquatic","Ephemeroptera","Ephemerellidae","Summer19","2",0
"Flooded Forest","Benthic",2019-07-09,"Drunella grandis/spinifera","L","insect","Aquatic","Ephemeroptera","Ephemerellidae","Summer19","3",0
"Flooded Forest","Benthic",2019-07-09,"Drunella grandis/spinifera","L","insect","Aquatic","Ephemeroptera","Ephemerellidae","Summer19","4",0
"Flooded Forest","Benthic",2019-07-09,"Drunella grandis/spinifera","L","insect","Aquatic","Ephemeroptera","Ephemerellidae","Summer19","5",0
"Flooded Forest","Benthic",2019-07-09,"Ephemerella tibialis","L","insect","Aquatic","Ephemeroptera","Ephemerellidae","Summer19","1",1.970073583
"Flooded Forest","Benthic",2019-07-09,"Ephemerella tibialis","L","insect","Aquatic","Ephemeroptera","Ephemerellidae","Summer19","2",3.25893677
"Flooded Forest","Benthic",2019-07-09,"Ephemerella tibialis","L","insect","Aquatic","Ephemeroptera","Ephemerellidae","Summer19","3",0
"Flooded Forest","Benthic",2019-07-09,"Ephemerella tibialis","L","insect","Aquatic","Ephemeroptera","Ephemerellidae","Summer19","4",0
