"Taxon","Treatment","Season","Replicate","Biomass"
"Ablabesmyia","Phase 3","Fall19","1",0
"Ablabesmyia","Phase 3","Fall19","2",0
"Ablabesmyia","Phase 3","Fall19","3",0
"Ablabesmyia","Phase 3","Fall19","4",0
"Ablabesmyia","Phase 3","Fall19","5",0
"Ablabesmyia","Phase 3","Spring20","1",0
"Ablabesmyia","Phase 3","Spring20","2",0
"Ablabesmyia","Phase 3","Spring20","3",0
"Ablabesmyia","Phase 3","Spring20","4",0
"Ablabesmyia","Phase 3","Spring20","5",0
"Ablabesmyia","Phase 3","Summer19","1",0
"Ablabesmyia","Phase 3","Summer19","2",0
"Ablabesmyia","Phase 3","Summer19","3",0
"Ablabesmyia","Phase 3","Summer19","4",0
"Ablabesmyia","Phase 3","Summer19","5",0
"Ablabesmyia","Phase 3","Winter20","1",0
"Ablabesmyia","Phase 3","Winter20","2",0
"Ablabesmyia","Phase 3","Winter20","3",0
"Ablabesmyia","Phase 3","Winter20","4",0
"Ablabesmyia","Phase 3","Winter20","5",0
"Acentrella","Phase 3","Fall19","1",0
"Acentrella","Phase 3","Fall19","2",0
"Acentrella","Phase 3","Fall19","3",0
"Acentrella","Phase 3","Fall19","4",0
"Acentrella","Phase 3","Fall19","5",0
"Acentrella","Phase 3","Spring20","1",0
"Acentrella","Phase 3","Spring20","2",0
"Acentrella","Phase 3","Spring20","3",2.368316652
"Acentrella","Phase 3","Spring20","4",28.94899072
"Acentrella","Phase 3","Spring20","5",0
"Acentrella","Phase 3","Summer19","1",0
"Acentrella","Phase 3","Summer19","2",0
"Acentrella","Phase 3","Summer19","3",0
"Acentrella","Phase 3","Summer19","4",0
"Acentrella","Phase 3","Summer19","5",0
"Acentrella","Phase 3","Winter20","1",0
"Acentrella","Phase 3","Winter20","2",0
"Acentrella","Phase 3","Winter20","3",0
"Acentrella","Phase 3","Winter20","4",0
"Acentrella","Phase 3","Winter20","5",0
"Afghanurus criddlei","Phase 3","Fall19","1",0
"Afghanurus criddlei","Phase 3","Fall19","2",0
"Afghanurus criddlei","Phase 3","Fall19","3",0
"Afghanurus criddlei","Phase 3","Fall19","4",0
"Afghanurus criddlei","Phase 3","Fall19","5",0
"Afghanurus criddlei","Phase 3","Spring20","1",0
"Afghanurus criddlei","Phase 3","Spring20","2",0
"Afghanurus criddlei","Phase 3","Spring20","3",0
"Afghanurus criddlei","Phase 3","Spring20","4",0
"Afghanurus criddlei","Phase 3","Spring20","5",0
"Afghanurus criddlei","Phase 3","Summer19","1",0
"Afghanurus criddlei","Phase 3","Summer19","2",0
"Afghanurus criddlei","Phase 3","Summer19","3",0
"Afghanurus criddlei","Phase 3","Summer19","4",0
"Afghanurus criddlei","Phase 3","Summer19","5",0
"Afghanurus criddlei","Phase 3","Winter20","1",0
"Afghanurus criddlei","Phase 3","Winter20","2",0
"Afghanurus criddlei","Phase 3","Winter20","3",0
"Afghanurus criddlei","Phase 3","Winter20","4",0
"Afghanurus criddlei","Phase 3","Winter20","5",0
"Agraylea","Phase 3","Fall19","1",43.51116026
"Agraylea","Phase 3","Fall19","2",0
"Agraylea","Phase 3","Fall19","3",0
"Agraylea","Phase 3","Fall19","4",51.86030927
"Agraylea","Phase 3","Fall19","5",0
"Agraylea","Phase 3","Spring20","1",0
"Agraylea","Phase 3","Spring20","2",0.0672
"Agraylea","Phase 3","Spring20","3",0
"Agraylea","Phase 3","Spring20","4",0
"Agraylea","Phase 3","Spring20","5",0
"Agraylea","Phase 3","Summer19","1",12.96507732
"Agraylea","Phase 3","Summer19","2",0
"Agraylea","Phase 3","Summer19","3",0
"Agraylea","Phase 3","Summer19","4",0
"Agraylea","Phase 3","Summer19","5",0
"Agraylea","Phase 3","Winter20","1",0
"Agraylea","Phase 3","Winter20","2",0
"Agraylea","Phase 3","Winter20","3",0
"Agraylea","Phase 3","Winter20","4",0
"Agraylea","Phase 3","Winter20","5",0
"Allocosmoecus partitus","Phase 3","Fall19","1",0
"Allocosmoecus partitus","Phase 3","Fall19","2",0
"Allocosmoecus partitus","Phase 3","Fall19","3",0
"Allocosmoecus partitus","Phase 3","Fall19","4",0
