"Treatment","Substrate","Date","Taxon","Stage","Insect","Origin","Order","Family","Season","Replicate","Biomass"
"Phase 4","Benthic",2019-07-16,"Simulium","L","insect","Aquatic","Diptera","Simuliidae","Summer19","1",0.34398881
"Phase 4","Benthic",2019-07-16,"Simulium","L","insect","Aquatic","Diptera","Simuliidae","Summer19","2",6.625348368
"Phase 4","Benthic",2019-07-16,"Simulium","L","insect","Aquatic","Diptera","Simuliidae","Summer19","3",0.309551235
"Phase 4","Benthic",2019-07-16,"Simulium","L","insect","Aquatic","Diptera","Simuliidae","Summer19","4",0
"Phase 4","Benthic",2019-07-16,"Simulium","L","insect","Aquatic","Diptera","Simuliidae","Summer19","5",2.495363729
"Phase 4","Benthic",2019-07-16,"Micrasema","L","insect","Aquatic","Trichoptera","Brachycentridae","Summer19","1",28.98251645
"Phase 4","Benthic",2019-07-16,"Micrasema","L","insect","Aquatic","Trichoptera","Brachycentridae","Summer19","2",7.905971294
"Phase 4","Benthic",2019-07-16,"Micrasema","L","insect","Aquatic","Trichoptera","Brachycentridae","Summer19","3",0
"Phase 4","Benthic",2019-07-16,"Micrasema","L","insect","Aquatic","Trichoptera","Brachycentridae","Summer19","4",16.52014624
"Phase 4","Benthic",2019-07-16,"Micrasema","L","insect","Aquatic","Trichoptera","Brachycentridae","Summer19","5",20.5012422
"Phase 4","Benthic",2019-07-16,"Glossosoma","L","insect","Aquatic","Trichoptera","Glossosomatidae","Summer19","1",1.359482377
"Phase 4","Benthic",2019-07-16,"Glossosoma","L","insect","Aquatic","Trichoptera","Glossosomatidae","Summer19","2",0
"Phase 4","Benthic",2019-07-16,"Glossosoma","L","insect","Aquatic","Trichoptera","Glossosomatidae","Summer19","3",0
"Phase 4","Benthic",2019-07-16,"Glossosoma","L","insect","Aquatic","Trichoptera","Glossosomatidae","Summer19","4",0.373071954
"Phase 4","Benthic",2019-07-16,"Glossosoma","L","insect","Aquatic","Trichoptera","Glossosomatidae","Summer19","5",0
"Phase 4","Benthic",2019-07-16,"Arctopsyche","L","insect","Aquatic","Trichoptera","Hydropsychidae","Summer19","1",11.05789484
"Phase 4","Benthic",2019-07-16,"Arctopsyche","L","insect","Aquatic","Trichoptera","Hydropsychidae","Summer19","2",20.4947155
"Phase 4","Benthic",2019-07-16,"Arctopsyche","L","insect","Aquatic","Trichoptera","Hydropsychidae","Summer19","3",29.19925424
"Phase 4","Benthic",2019-07-16,"Arctopsyche","L","insect","Aquatic","Trichoptera","Hydropsychidae","Summer19","4",18.25311146
"Phase 4","Benthic",2019-07-16,"Arctopsyche","L","insect","Aquatic","Trichoptera","Hydropsychidae","Summer19","5",7.555840143
"Phase 4","Benthic",2019-07-16,"Hydropsyche","L","insect","Aquatic","Trichoptera","Hydropsychidae","Summer19","1",91.30515671
"Phase 4","Benthic",2019-07-16,"Hydropsyche","L","insect","Aquatic","Trichoptera","Hydropsychidae","Summer19","2",0
"Phase 4","Benthic",2019-07-16,"Hydropsyche","L","insect","Aquatic","Trichoptera","Hydropsychidae","Summer19","3",30.49383861
"Phase 4","Benthic",2019-07-16,"Hydropsyche","L","insect","Aquatic","Trichoptera","Hydropsychidae","Summer19","4",8.3065073
"Phase 4","Benthic",2019-07-16,"Hydropsyche","L","insect","Aquatic","Trichoptera","Hydropsychidae","Summer19","5",40.65845147
"Phase 4","Benthic",2019-07-16,"Hydroptila","L","insect","Aquatic","Trichoptera","Hydroptilidae","Summer19","1",0.377767084
"Phase 4","Benthic",2019-07-16,"Hydroptila","L","insect","Aquatic","Trichoptera","Hydroptilidae","Summer19","2",0
"Phase 4","Benthic",2019-07-16,"Hydroptila","L","insect","Aquatic","Trichoptera","Hydroptilidae","Summer19","3",0
"Phase 4","Benthic",2019-07-16,"Hydroptila","L","insect","Aquatic","Trichoptera","Hydroptilidae","Summer19","4",0
"Phase 4","Benthic",2019-07-16,"Hydroptila","L","insect","Aquatic","Trichoptera","Hydroptilidae","Summer19","5",0
"Phase 4","Benthic",2019-07-16,"Lepidostoma","L","insect","Aquatic","Trichoptera","Lepidostomatidae","Summer19","1",0.1685544
"Phase 4","Benthic",2019-07-16,"Lepidostoma","L","insect","Aquatic","Trichoptera","Lepidostomatidae","Summer19","2",0.1896
"Phase 4","Benthic",2019-07-16,"Lepidostoma","L","insect","Aquatic","Trichoptera","Lepidostomatidae","Summer19","3",0
"Phase 4","Benthic",2019-07-16,"Lepidostoma","L","insect","Aquatic","Trichoptera","Lepidostomatidae","Summer19","4",0.1083248
"Phase 4","Benthic",2019-07-16,"Lepidostoma","L","insect","Aquatic","Trichoptera","Lepidostomatidae","Summer19","5",0
"Phase 4","Benthic",2019-07-16,"Dicosmoecus gilvipes","L","insect","Aquatic","Trichoptera","Limnephilidae","Summer19","1",80.60055261
"Phase 4","Benthic",2019-07-16,"Dicosmoecus gilvipes","L","insect","Aquatic","Trichoptera","Limnephilidae","Summer19","2",124.5642168
"Phase 4","Benthic",2019-07-16,"Dicosmoecus gilvipes","L","insect","Aquatic","Trichoptera","Limnephilidae","Summer19","3",62.28210841
"Phase 4","Benthic",2019-07-16,"Dicosmoecus gilvipes","L","insect","Aquatic","Trichoptera","Limnephilidae","Summer19","4",112.3814108
"Phase 4","Benthic",2019-07-16,"Dicosmoecus gilvipes","L","insect","Aquatic","Trichoptera","Limnephilidae","Summer19","5",0
"Phase 4","Benthic",2019-07-16,"Onocosmoecus unicolor","L","insect","Aquatic","Trichoptera","Limnephilidae","Summer19","1",31.55714616
"Phase 4","Benthic",2019-07-16,"Onocosmoecus unicolor","L","insect","Aquatic","Trichoptera","Limnephilidae","Summer19","2",1209.008289
"Phase 4","Benthic",2019-07-16,"Onocosmoecus unicolor","L","insect","Aquatic","Trichoptera","Limnephilidae","Summer19","3",55.39948109
"Phase 4","Benthic",2019-07-16,"Onocosmoecus unicolor","L","insect","Aquatic","Trichoptera","Limnephilidae","Summer19","4",0
"Phase 4","Benthic",2019-07-16,"Onocosmoecus unicolor","L","insect","Aquatic","Trichoptera","Limnephilidae","Summer19","5",0
"Phase 4","Benthic",2019-07-16,"Rhyacophila arnaudi","L","insect","Aquatic","Trichoptera","Rhyacophilidae","Summer19","1",6.574412895
"Phase 4","Benthic",2019-07-16,"Rhyacophila arnaudi","L","insect","Aquatic","Trichoptera","Rhyacophilidae","Summer19","2",41.25813609
"Phase 4","Benthic",2019-07-16,"Rhyacophila arnaudi","L","insect","Aquatic","Trichoptera","Rhyacophilidae","Summer19","3",0
