"Taxon","Treatment","Season","Replicate","Biomass"
"Ablabesmyia","Disturbed","Fall19","1",0
"Ablabesmyia","Disturbed","Fall19","2",0
"Ablabesmyia","Disturbed","Fall19","3",0
"Ablabesmyia","Disturbed","Fall19","4",0
"Ablabesmyia","Disturbed","Fall19","5",0
"Ablabesmyia","Disturbed","Spring20","1",0
"Ablabesmyia","Disturbed","Spring20","2",0
"Ablabesmyia","Disturbed","Spring20","3",0
"Ablabesmyia","Disturbed","Spring20","4",0
"Ablabesmyia","Disturbed","Spring20","5",0
"Ablabesmyia","Disturbed","Summer19","1",0
"Ablabesmyia","Disturbed","Summer19","2",0
"Ablabesmyia","Disturbed","Summer19","3",0
"Ablabesmyia","Disturbed","Summer19","4",0
"Ablabesmyia","Disturbed","Summer19","5",0
"Ablabesmyia","Disturbed","Winter20","1",0
"Ablabesmyia","Disturbed","Winter20","2",0
"Ablabesmyia","Disturbed","Winter20","3",0
"Ablabesmyia","Disturbed","Winter20","4",0
"Ablabesmyia","Disturbed","Winter20","5",0
"Ablabesmyia","Flooded Forest","Fall19","1",0
"Ablabesmyia","Flooded Forest","Fall19","2",0
"Ablabesmyia","Flooded Forest","Fall19","3",0
"Ablabesmyia","Flooded Forest","Fall19","4",0
"Ablabesmyia","Flooded Forest","Fall19","5",0
"Ablabesmyia","Flooded Forest","Spring20","1",0
"Ablabesmyia","Flooded Forest","Spring20","2",0
"Ablabesmyia","Flooded Forest","Spring20","3",0
"Ablabesmyia","Flooded Forest","Spring20","4",0
"Ablabesmyia","Flooded Forest","Spring20","5",0
"Ablabesmyia","Flooded Forest","Summer19","1",0
"Ablabesmyia","Flooded Forest","Summer19","2",0
"Ablabesmyia","Flooded Forest","Summer19","3",0
"Ablabesmyia","Flooded Forest","Summer19","4",0
"Ablabesmyia","Flooded Forest","Summer19","5",0
"Ablabesmyia","Flooded Forest","Winter20","1",0
"Ablabesmyia","Flooded Forest","Winter20","2",0
"Ablabesmyia","Flooded Forest","Winter20","3",0
"Ablabesmyia","Flooded Forest","Winter20","4",0.621354754
"Ablabesmyia","Flooded Forest","Winter20","5",3.917236492
"Ablabesmyia","Phase 3","Fall19","1",0
"Ablabesmyia","Phase 3","Fall19","2",0
"Ablabesmyia","Phase 3","Fall19","3",0
"Ablabesmyia","Phase 3","Fall19","4",0
"Ablabesmyia","Phase 3","Fall19","5",0
"Ablabesmyia","Phase 3","Spring20","1",0
"Ablabesmyia","Phase 3","Spring20","2",0
"Ablabesmyia","Phase 3","Spring20","3",0
"Ablabesmyia","Phase 3","Spring20","4",0
"Ablabesmyia","Phase 3","Spring20","5",0
"Ablabesmyia","Phase 3","Summer19","1",0
"Ablabesmyia","Phase 3","Summer19","2",0
"Ablabesmyia","Phase 3","Summer19","3",0
"Ablabesmyia","Phase 3","Summer19","4",0
"Ablabesmyia","Phase 3","Summer19","5",0
"Ablabesmyia","Phase 3","Winter20","1",0
"Ablabesmyia","Phase 3","Winter20","2",0
"Ablabesmyia","Phase 3","Winter20","3",0
"Ablabesmyia","Phase 3","Winter20","4",0
"Ablabesmyia","Phase 3","Winter20","5",0
"Ablabesmyia","Phase 4","Fall19","1",0
"Ablabesmyia","Phase 4","Fall19","2",0
"Ablabesmyia","Phase 4","Fall19","3",0
"Ablabesmyia","Phase 4","Fall19","4",0
"Ablabesmyia","Phase 4","Fall19","5",0
"Ablabesmyia","Phase 4","Spring20","1",0
"Ablabesmyia","Phase 4","Spring20","2",0
"Ablabesmyia","Phase 4","Spring20","3",0
"Ablabesmyia","Phase 4","Spring20","4",0
"Ablabesmyia","Phase 4","Spring20","5",0
"Ablabesmyia","Phase 4","Summer19","1",0
"Ablabesmyia","Phase 4","Summer19","2",0
"Ablabesmyia","Phase 4","Summer19","3",0
"Ablabesmyia","Phase 4","Summer19","4",0
"Ablabesmyia","Phase 4","Summer19","5",0
"Ablabesmyia","Phase 4","Winter20","1",0
"Ablabesmyia","Phase 4","Winter20","2",0
"Ablabesmyia","Phase 4","Winter20","3",0
"Ablabesmyia","Phase 4","Winter20","4",0
"Ablabesmyia","Phase 4","Winter20","5",0
"Ablabesmyia","Relic Channel","Fall19","1",0
"Ablabesmyia","Relic Channel","Fall19","2",0
"Ablabesmyia","Relic Channel","Fall19","3",0
"Ablabesmyia","Relic Channel","Fall19","4",0
"Ablabesmyia","Relic Channel","Fall19","5",0
"Ablabesmyia","Relic Channel","Spring20","1",0
"Ablabesmyia","Relic Channel","Spring20","2",0
"Ablabesmyia","Relic Channel","Spring20","3",0
"Ablabesmyia","Relic Channel","Spring20","4",0
"Ablabesmyia","Relic Channel","Spring20","5",0
"Ablabesmyia","Relic Channel","Summer19","1",0
"Ablabesmyia","Relic Channel","Summer19","2",0
"Ablabesmyia","Relic Channel","Summer19","3",0
"Ablabesmyia","Relic Channel","Summer19","4",0
"Ablabesmyia","Relic Channel","Summer19","5",0
"Ablabesmyia","Relic Channel","Winter20","1",0
"Ablabesmyia","Relic Channel","Winter20","2",0
"Ablabesmyia","Relic Channel","Winter20","3",0
"Ablabesmyia","Relic Channel","Winter20","4",0
"Ablabesmyia","Relic Channel","Winter20","5",0
"Acentrella","Disturbed","Fall19","1",0
"Acentrella","Disturbed","Fall19","2",0
"Acentrella","Disturbed","Fall19","3",0
"Acentrella","Disturbed","Fall19","4",0
"Acentrella","Disturbed","Fall19","5",0
"Acentrella","Disturbed","Spring20","1",0.187761268
"Acentrella","Disturbed","Spring20","2",0
"Acentrella","Disturbed","Spring20","3",0
"Acentrella","Disturbed","Spring20","4",0.23088
"Acentrella","Disturbed","Spring20","5",0
"Acentrella","Disturbed","Summer19","1",0
"Acentrella","Disturbed","Summer19","2",0
"Acentrella","Disturbed","Summer19","3",0
"Acentrella","Disturbed","Summer19","4",0.58192077
"Acentrella","Disturbed","Summer19","5",0
"Acentrella","Disturbed","Winter20","1",0
"Acentrella","Disturbed","Winter20","2",0
"Acentrella","Disturbed","Winter20","3",0
"Acentrella","Disturbed","Winter20","4",0
"Acentrella","Disturbed","Winter20","5",0
"Acentrella","Flooded Forest","Fall19","1",0
"Acentrella","Flooded Forest","Fall19","2",0
"Acentrella","Flooded Forest","Fall19","3",0
"Acentrella","Flooded Forest","Fall19","4",0
"Acentrella","Flooded Forest","Fall19","5",0
"Acentrella","Flooded Forest","Spring20","1",0
"Acentrella","Flooded Forest","Spring20","2",0
"Acentrella","Flooded Forest","Spring20","3",0
"Acentrella","Flooded Forest","Spring20","4",0
"Acentrella","Flooded Forest","Spring20","5",0
"Acentrella","Flooded Forest","Summer19","1",0
"Acentrella","Flooded Forest","Summer19","2",0
"Acentrella","Flooded Forest","Summer19","3",0
"Acentrella","Flooded Forest","Summer19","4",0
"Acentrella","Flooded Forest","Summer19","5",0
"Acentrella","Flooded Forest","Winter20","1",0
"Acentrella","Flooded Forest","Winter20","2",0
"Acentrella","Flooded Forest","Winter20","3",0
"Acentrella","Flooded Forest","Winter20","4",0
"Acentrella","Flooded Forest","Winter20","5",0
"Acentrella","Phase 3","Fall19","1",0
"Acentrella","Phase 3","Fall19","2",0
"Acentrella","Phase 3","Fall19","3",0
"Acentrella","Phase 3","Fall19","4",0
"Acentrella","Phase 3","Fall19","5",0
"Acentrella","Phase 3","Spring20","1",0
"Acentrella","Phase 3","Spring20","2",0
"Acentrella","Phase 3","Spring20","3",2.368316652
"Acentrella","Phase 3","Spring20","4",28.94899072
"Acentrella","Phase 3","Spring20","5",0
"Acentrella","Phase 3","Summer19","1",0
"Acentrella","Phase 3","Summer19","2",0
"Acentrella","Phase 3","Summer19","3",0
"Acentrella","Phase 3","Summer19","4",0
"Acentrella","Phase 3","Summer19","5",0
"Acentrella","Phase 3","Winter20","1",0
"Acentrella","Phase 3","Winter20","2",0
"Acentrella","Phase 3","Winter20","3",0
