"Taxon","Treatment","Season","Replicate","Biomass"
"Acentrella","Disturbed","Fall19","1",0
"Acentrella","Disturbed","Fall19","2",0
"Acentrella","Disturbed","Fall19","3",0
"Acentrella","Disturbed","Spring20","1",0.0321308
"Acentrella","Disturbed","Spring20","2",0.0160654
"Acentrella","Disturbed","Spring20","3",0.065059356
"Acentrella","Disturbed","Summer19","1",0
"Acentrella","Disturbed","Summer19","2",0.393710257
"Acentrella","Disturbed","Summer19","3",0
"Acentrella","Disturbed","Winter20","1",0
"Acentrella","Disturbed","Winter20","2",0
"Acentrella","Disturbed","Winter20","3",0
"Acentrella","Relic Channel","Fall19","1",0
"Acentrella","Relic Channel","Fall19","2",0
"Acentrella","Relic Channel","Fall19","3",0
"Acentrella","Relic Channel","Spring20","1",0
"Acentrella","Relic Channel","Spring20","2",0
"Acentrella","Relic Channel","Spring20","3",0
"Acentrella","Relic Channel","Summer19","1",0
"Acentrella","Relic Channel","Summer19","2",0
"Acentrella","Relic Channel","Summer19","3",0
"Acentrella","Relic Channel","Winter20","1",0
"Acentrella","Relic Channel","Winter20","2",0
"Acentrella","Relic Channel","Winter20","3",0
"Agraylea","Disturbed","Fall19","1",0
"Agraylea","Disturbed","Fall19","2",0
"Agraylea","Disturbed","Fall19","3",2.681114349
"Agraylea","Disturbed","Spring20","1",0
"Agraylea","Disturbed","Spring20","2",0
"Agraylea","Disturbed","Spring20","3",0
"Agraylea","Disturbed","Summer19","1",0
"Agraylea","Disturbed","Summer19","2",0
"Agraylea","Disturbed","Summer19","3",0
"Agraylea","Disturbed","Winter20","1",0
"Agraylea","Disturbed","Winter20","2",0
"Agraylea","Disturbed","Winter20","3",0
"Agraylea","Relic Channel","Fall19","1",0
"Agraylea","Relic Channel","Fall19","2",0
"Agraylea","Relic Channel","Fall19","3",0
"Agraylea","Relic Channel","Spring20","1",0
"Agraylea","Relic Channel","Spring20","2",0
"Agraylea","Relic Channel","Spring20","3",0
"Agraylea","Relic Channel","Summer19","1",0
"Agraylea","Relic Channel","Summer19","2",0
"Agraylea","Relic Channel","Summer19","3",0
"Agraylea","Relic Channel","Winter20","1",0
"Agraylea","Relic Channel","Winter20","2",0
"Agraylea","Relic Channel","Winter20","3",0
"Ameletus","Disturbed","Fall19","1",0
"Ameletus","Disturbed","Fall19","2",0
"Ameletus","Disturbed","Fall19","3",7.982303955
"Ameletus","Disturbed","Spring20","1",2.655171807
"Ameletus","Disturbed","Spring20","2",6.078163749
"Ameletus","Disturbed","Spring20","3",19.53258864
"Ameletus","Disturbed","Summer19","1",0
"Ameletus","Disturbed","Summer19","2",0
"Ameletus","Disturbed","Summer19","3",0
"Ameletus","Disturbed","Winter20","1",0
"Ameletus","Disturbed","Winter20","2",0
"Ameletus","Disturbed","Winter20","3",0
"Ameletus","Relic Channel","Fall19","1",0
"Ameletus","Relic Channel","Fall19","2",0
"Ameletus","Relic Channel","Fall19","3",0
"Ameletus","Relic Channel","Spring20","1",0
"Ameletus","Relic Channel","Spring20","2",22.12720949
"Ameletus","Relic Channel","Spring20","3",0
"Ameletus","Relic Channel","Summer19","1",0
"Ameletus","Relic Channel","Summer19","2",0
"Ameletus","Relic Channel","Summer19","3",0
"Ameletus","Relic Channel","Winter20","1",0
"Ameletus","Relic Channel","Winter20","2",0
"Ameletus","Relic Channel","Winter20","3",0
"Amiocentrus aspilus","Disturbed","Fall19","1",0
"Amiocentrus aspilus","Disturbed","Fall19","2",0
"Amiocentrus aspilus","Disturbed","Fall19","3",0
"Amiocentrus aspilus","Disturbed","Spring20","1",0.043452997
"Amiocentrus aspilus","Disturbed","Spring20","2",0
"Amiocentrus aspilus","Disturbed","Spring20","3",0
"Amiocentrus aspilus","Disturbed","Summer19","1",0
"Amiocentrus aspilus","Disturbed","Summer19","2",0
"Amiocentrus aspilus","Disturbed","Summer19","3",0
"Amiocentrus aspilus","Disturbed","Winter20","1",0
"Amiocentrus aspilus","Disturbed","Winter20","2",0
"Amiocentrus aspilus","Disturbed","Winter20","3",0
"Amiocentrus aspilus","Relic Channel","Fall19","1",0.13035899
"Amiocentrus aspilus","Relic Channel","Fall19","2",0
"Amiocentrus aspilus","Relic Channel","Fall19","3",0
"Amiocentrus aspilus","Relic Channel","Spring20","1",0
"Amiocentrus aspilus","Relic Channel","Spring20","2",0
"Amiocentrus aspilus","Relic Channel","Spring20","3",0
"Amiocentrus aspilus","Relic Channel","Summer19","1",0
"Amiocentrus aspilus","Relic Channel","Summer19","2",0
"Amiocentrus aspilus","Relic Channel","Summer19","3",0
"Amiocentrus aspilus","Relic Channel","Winter20","1",0
"Amiocentrus aspilus","Relic Channel","Winter20","2",0
"Amiocentrus aspilus","Relic Channel","Winter20","3",0
"Amphizoa","Disturbed","Fall19","1",0
"Amphizoa","Disturbed","Fall19","2",0
"Amphizoa","Disturbed","Fall19","3",1.849530723
"Amphizoa","Disturbed","Spring20","1",0
"Amphizoa","Disturbed","Spring20","2",0
"Amphizoa","Disturbed","Spring20","3",0
"Amphizoa","Disturbed","Summer19","1",0
"Amphizoa","Disturbed","Summer19","2",0
"Amphizoa","Disturbed","Summer19","3",0
"Amphizoa","Disturbed","Winter20","1",0
"Amphizoa","Disturbed","Winter20","2",0
"Amphizoa","Disturbed","Winter20","3",0
"Amphizoa","Relic Channel","Fall19","1",0.726443381
"Amphizoa","Relic Channel","Fall19","2",0
"Amphizoa","Relic Channel","Fall19","3",0
"Amphizoa","Relic Channel","Spring20","1",0
"Amphizoa","Relic Channel","Spring20","2",0
"Amphizoa","Relic Channel","Spring20","3",0
"Amphizoa","Relic Channel","Summer19","1",0
"Amphizoa","Relic Channel","Summer19","2",0
"Amphizoa","Relic Channel","Summer19","3",0
"Amphizoa","Relic Channel","Winter20","1",0
"Amphizoa","Relic Channel","Winter20","2",0
"Amphizoa","Relic Channel","Winter20","3",0
"Ampumixis dispar","Disturbed","Fall19","1",2.17676278
"Ampumixis dispar","Disturbed","Fall19","2",1.37032035
"Ampumixis dispar","Disturbed","Fall19","3",5.349951666
"Ampumixis dispar","Disturbed","Spring20","1",0
"Ampumixis dispar","Disturbed","Spring20","2",2.048990143
"Ampumixis dispar","Disturbed","Spring20","3",0.221532167
"Ampumixis dispar","Disturbed","Summer19","1",8.037882562
"Ampumixis dispar","Disturbed","Summer19","2",2.756270777
"Ampumixis dispar","Disturbed","Summer19","3",4.678207972
"Ampumixis dispar","Disturbed","Winter20","1",0
"Ampumixis dispar","Disturbed","Winter20","2",1.109076808
"Ampumixis dispar","Disturbed","Winter20","3",0
"Ampumixis dispar","Relic Channel","Fall19","1",0.702442047
"Ampumixis dispar","Relic Channel","Fall19","2",0.210044521
"Ampumixis dispar","Relic Channel","Fall19","3",0
"Ampumixis dispar","Relic Channel","Spring20","1",1.610538851
"Ampumixis dispar","Relic Channel","Spring20","2",0.663349684
"Ampumixis dispar","Relic Channel","Spring20","3",0
"Ampumixis dispar","Relic Channel","Summer19","1",6.122227186
"Ampumixis dispar","Relic Channel","Summer19","2",1.337546538
"Ampumixis dispar","Relic Channel","Summer19","3",0
"Ampumixis dispar","Relic Channel","Winter20","1",0.250293214
"Ampumixis dispar","Relic Channel","Winter20","2",0
"Ampumixis dispar","Relic Channel","Winter20","3",0.278719297
"Anafroptilum","Disturbed","Fall19","1",0
"Anafroptilum","Disturbed","Fall19","2",0
"Anafroptilum","Disturbed","Fall19","3",0
"Anafroptilum","Disturbed","Spring20","1",0
"Anafroptilum","Disturbed","Spring20","2",0
"Anafroptilum","Disturbed","Spring20","3",0.064931222
"Anafroptilum","Disturbed","Summer19","1",0
"Anafroptilum","Disturbed","Summer19","2",0
"Anafroptilum","Disturbed","Summer19","3",0
"Anafroptilum","Disturbed","Winter20","1",0
"Anafroptilum","Disturbed","Winter20","2",0
"Anafroptilum","Disturbed","Winter20","3",0
"Anafroptilum","Relic Channel","Fall19","1",0
"Anafroptilum","Relic Channel","Fall19","2",0
"Anafroptilum","Relic Channel","Fall19","3",0
"Anafroptilum","Relic Channel","Spring20","1",0
"Anafroptilum","Relic Channel","Spring20","2",0
"Anafroptilum","Relic Channel","Spring20","3",0
"Anafroptilum","Relic Channel","Summer19","1",0
"Anafroptilum","Relic Channel","Summer19","2",0
"Anafroptilum","Relic Channel","Summer19","3",0
"Anafroptilum","Relic Channel","Winter20","1",0
"Anafroptilum","Relic Channel","Winter20","2",0
"Anafroptilum","Relic Channel","Winter20","3",0
"Antocha","Disturbed","Fall19","1",0
"Antocha","Disturbed","Fall19","2",0.031058172
"Antocha","Disturbed","Fall19","3",0.408800688
"Antocha","Disturbed","Spring20","1",0
"Antocha","Disturbed","Spring20","2",0
"Antocha","Disturbed","Spring20","3",0
"Antocha","Disturbed","Summer19","1",0
"Antocha","Disturbed","Summer19","2",0
"Antocha","Disturbed","Summer19","3",0
"Antocha","Disturbed","Winter20","1",0
"Antocha","Disturbed","Winter20","2",0.092103589
"Antocha","Disturbed","Winter20","3",0
"Antocha","Relic Channel","Fall19","1",0
"Antocha","Relic Channel","Fall19","2",0
"Antocha","Relic Channel","Fall19","3",0
"Antocha","Relic Channel","Spring20","1",0
"Antocha","Relic Channel","Spring20","2",0
"Antocha","Relic Channel","Spring20","3",0
"Antocha","Relic Channel","Summer19","1",0
"Antocha","Relic Channel","Summer19","2",0
"Antocha","Relic Channel","Summer19","3",0
"Antocha","Relic Channel","Winter20","1",0
"Antocha","Relic Channel","Winter20","2",0
"Antocha","Relic Channel","Winter20","3",0.610647798
"Arctopsyche","Disturbed","Fall19","1",0
"Arctopsyche","Disturbed","Fall19","2",0
"Arctopsyche","Disturbed","Fall19","3",0
"Arctopsyche","Disturbed","Spring20","1",0
"Arctopsyche","Disturbed","Spring20","2",0
"Arctopsyche","Disturbed","Spring20","3",0
"Arctopsyche","Disturbed","Summer19","1",0
"Arctopsyche","Disturbed","Summer19","2",0
"Arctopsyche","Disturbed","Summer19","3",0.887425355
"Arctopsyche","Disturbed","Winter20","1",0
"Arctopsyche","Disturbed","Winter20","2",0
"Arctopsyche","Disturbed","Winter20","3",0
"Arctopsyche","Relic Channel","Fall19","1",0
"Arctopsyche","Relic Channel","Fall19","2",0
"Arctopsyche","Relic Channel","Fall19","3",0
"Arctopsyche","Relic Channel","Spring20","1",0
"Arctopsyche","Relic Channel","Spring20","2",0
"Arctopsyche","Relic Channel","Spring20","3",0
