"Taxon","Treatment","Season","Replicate","Biomass"
"Ablabesmyia","Relic Channel","Fall19","1",0
"Ablabesmyia","Relic Channel","Fall19","2",0
"Ablabesmyia","Relic Channel","Fall19","3",0
"Ablabesmyia","Relic Channel","Fall19","4",0
"Ablabesmyia","Relic Channel","Fall19","5",0
"Ablabesmyia","Relic Channel","Spring20","1",0
"Ablabesmyia","Relic Channel","Spring20","2",0
"Ablabesmyia","Relic Channel","Spring20","3",0
"Ablabesmyia","Relic Channel","Spring20","4",0
"Ablabesmyia","Relic Channel","Spring20","5",0
"Ablabesmyia","Relic Channel","Summer19","1",0
"Ablabesmyia","Relic Channel","Summer19","2",0
"Ablabesmyia","Relic Channel","Summer19","3",0
"Ablabesmyia","Relic Channel","Summer19","4",0
"Ablabesmyia","Relic Channel","Summer19","5",0
"Ablabesmyia","Relic Channel","Winter20","1",0
"Ablabesmyia","Relic Channel","Winter20","2",0
"Ablabesmyia","Relic Channel","Winter20","3",0
"Ablabesmyia","Relic Channel","Winter20","4",0
"Ablabesmyia","Relic Channel","Winter20","5",0
"Acentrella","Relic Channel","Fall19","1",0
"Acentrella","Relic Channel","Fall19","2",0
"Acentrella","Relic Channel","Fall19","3",0
"Acentrella","Relic Channel","Fall19","4",0
"Acentrella","Relic Channel","Fall19","5",0
"Acentrella","Relic Channel","Spring20","1",0
"Acentrella","Relic Channel","Spring20","2",0
"Acentrella","Relic Channel","Spring20","3",0
"Acentrella","Relic Channel","Spring20","4",0
"Acentrella","Relic Channel","Spring20","5",0
"Acentrella","Relic Channel","Summer19","1",0
"Acentrella","Relic Channel","Summer19","2",0
"Acentrella","Relic Channel","Summer19","3",0
"Acentrella","Relic Channel","Summer19","4",0
"Acentrella","Relic Channel","Summer19","5",0
"Acentrella","Relic Channel","Winter20","1",0
"Acentrella","Relic Channel","Winter20","2",0
"Acentrella","Relic Channel","Winter20","3",0
"Acentrella","Relic Channel","Winter20","4",0
"Acentrella","Relic Channel","Winter20","5",0
"Afghanurus criddlei","Relic Channel","Fall19","1",0
"Afghanurus criddlei","Relic Channel","Fall19","2",0
"Afghanurus criddlei","Relic Channel","Fall19","3",0
"Afghanurus criddlei","Relic Channel","Fall19","4",0
"Afghanurus criddlei","Relic Channel","Fall19","5",0
"Afghanurus criddlei","Relic Channel","Spring20","1",0
"Afghanurus criddlei","Relic Channel","Spring20","2",0
"Afghanurus criddlei","Relic Channel","Spring20","3",0
"Afghanurus criddlei","Relic Channel","Spring20","4",0
"Afghanurus criddlei","Relic Channel","Spring20","5",0
"Afghanurus criddlei","Relic Channel","Summer19","1",0
"Afghanurus criddlei","Relic Channel","Summer19","2",0
"Afghanurus criddlei","Relic Channel","Summer19","3",0
"Afghanurus criddlei","Relic Channel","Summer19","4",0
"Afghanurus criddlei","Relic Channel","Summer19","5",0
"Afghanurus criddlei","Relic Channel","Winter20","1",6.545439128
"Afghanurus criddlei","Relic Channel","Winter20","2",0
"Afghanurus criddlei","Relic Channel","Winter20","3",0
"Afghanurus criddlei","Relic Channel","Winter20","4",0
"Afghanurus criddlei","Relic Channel","Winter20","5",0
"Agraylea","Relic Channel","Fall19","1",0
"Agraylea","Relic Channel","Fall19","2",0
"Agraylea","Relic Channel","Fall19","3",0
"Agraylea","Relic Channel","Fall19","4",0
"Agraylea","Relic Channel","Fall19","5",0
"Agraylea","Relic Channel","Spring20","1",0
"Agraylea","Relic Channel","Spring20","2",0
"Agraylea","Relic Channel","Spring20","3",0
"Agraylea","Relic Channel","Spring20","4",0
"Agraylea","Relic Channel","Spring20","5",0
"Agraylea","Relic Channel","Summer19","1",0
"Agraylea","Relic Channel","Summer19","2",0
"Agraylea","Relic Channel","Summer19","3",0
"Agraylea","Relic Channel","Summer19","4",0
"Agraylea","Relic Channel","Summer19","5",0
"Agraylea","Relic Channel","Winter20","1",0
"Agraylea","Relic Channel","Winter20","2",0
"Agraylea","Relic Channel","Winter20","3",0
"Agraylea","Relic Channel","Winter20","4",0
"Agraylea","Relic Channel","Winter20","5",0
"Allocosmoecus partitus","Relic Channel","Fall19","1",0
"Allocosmoecus partitus","Relic Channel","Fall19","2",0
"Allocosmoecus partitus","Relic Channel","Fall19","3",0
"Allocosmoecus partitus","Relic Channel","Fall19","4",0
"Allocosmoecus partitus","Relic Channel","Fall19","5",0
"Allocosmoecus partitus","Relic Channel","Spring20","1",0
"Allocosmoecus partitus","Relic Channel","Spring20","2",0
"Allocosmoecus partitus","Relic Channel","Spring20","3",0
"Allocosmoecus partitus","Relic Channel","Spring20","4",0
"Allocosmoecus partitus","Relic Channel","Spring20","5",0
"Allocosmoecus partitus","Relic Channel","Summer19","1",0
"Allocosmoecus partitus","Relic Channel","Summer19","2",0
"Allocosmoecus partitus","Relic Channel","Summer19","3",0
"Allocosmoecus partitus","Relic Channel","Summer19","4",0
"Allocosmoecus partitus","Relic Channel","Summer19","5",0
"Allocosmoecus partitus","Relic Channel","Winter20","1",0
"Allocosmoecus partitus","Relic Channel","Winter20","2",0
"Allocosmoecus partitus","Relic Channel","Winter20","3",0
"Allocosmoecus partitus","Relic Channel","Winter20","4",0
"Allocosmoecus partitus","Relic Channel","Winter20","5",0
"Alotanypus","Relic Channel","Fall19","1",0
"Alotanypus","Relic Channel","Fall19","2",0
"Alotanypus","Relic Channel","Fall19","3",0
"Alotanypus","Relic Channel","Fall19","4",0
"Alotanypus","Relic Channel","Fall19","5",7.958332286
"Alotanypus","Relic Channel","Spring20","1",0
"Alotanypus","Relic Channel","Spring20","2",0
"Alotanypus","Relic Channel","Spring20","3",0
"Alotanypus","Relic Channel","Spring20","4",0
"Alotanypus","Relic Channel","Spring20","5",0
"Alotanypus","Relic Channel","Summer19","1",0
"Alotanypus","Relic Channel","Summer19","2",0
"Alotanypus","Relic Channel","Summer19","3",0
"Alotanypus","Relic Channel","Summer19","4",0
"Alotanypus","Relic Channel","Summer19","5",0
"Alotanypus","Relic Channel","Winter20","1",0
"Alotanypus","Relic Channel","Winter20","2",0
"Alotanypus","Relic Channel","Winter20","3",0
"Alotanypus","Relic Channel","Winter20","4",0.053004073
"Alotanypus","Relic Channel","Winter20","5",0
"Ameletus","Relic Channel","Fall19","1",0
"Ameletus","Relic Channel","Fall19","2",0
"Ameletus","Relic Channel","Fall19","3",0
"Ameletus","Relic Channel","Fall19","4",0
"Ameletus","Relic Channel","Fall19","5",0
"Ameletus","Relic Channel","Spring20","1",0
"Ameletus","Relic Channel","Spring20","2",0
"Ameletus","Relic Channel","Spring20","3",0
"Ameletus","Relic Channel","Spring20","4",0
"Ameletus","Relic Channel","Spring20","5",47.91494614
"Ameletus","Relic Channel","Summer19","1",0
"Ameletus","Relic Channel","Summer19","2",0
"Ameletus","Relic Channel","Summer19","3",0
"Ameletus","Relic Channel","Summer19","4",0
"Ameletus","Relic Channel","Summer19","5",0
"Ameletus","Relic Channel","Winter20","1",0.576457139
"Ameletus","Relic Channel","Winter20","2",0
"Ameletus","Relic Channel","Winter20","3",0
"Ameletus","Relic Channel","Winter20","4",2.380489848
"Ameletus","Relic Channel","Winter20","5",0.329928216
"Amiocentrus aspilus","Relic Channel","Fall19","1",0
"Amiocentrus aspilus","Relic Channel","Fall19","2",0
"Amiocentrus aspilus","Relic Channel","Fall19","3",0
"Amiocentrus aspilus","Relic Channel","Fall19","4",0.1328
"Amiocentrus aspilus","Relic Channel","Fall19","5",0
"Amiocentrus aspilus","Relic Channel","Spring20","1",0
"Amiocentrus aspilus","Relic Channel","Spring20","2",0
"Amiocentrus aspilus","Relic Channel","Spring20","3",0
"Amiocentrus aspilus","Relic Channel","Spring20","4",0
"Amiocentrus aspilus","Relic Channel","Spring20","5",0
