"Treatment","Substrate","Date","Taxon","Stage","Insect","Origin","Order","Family","Season","Replicate","Biomass"
"Relic Floodplain Channel","Benthic",2019-07-11,"Simulium","L","insect","Aquatic","Diptera","Simuliidae","Summer19","1",293.84803
"Relic Floodplain Channel","Benthic",2019-07-11,"Simulium","L","insect","Aquatic","Diptera","Simuliidae","Summer19","2",11.85675476
"Relic Floodplain Channel","Benthic",2019-07-11,"Simulium","L","insect","Aquatic","Diptera","Simuliidae","Summer19","3",4.186763518
"Relic Floodplain Channel","Benthic",2019-07-11,"Simulium","L","insect","Aquatic","Diptera","Simuliidae","Summer19","4",7.536282113
"Relic Floodplain Channel","Benthic",2019-07-11,"Simulium","L","insect","Aquatic","Diptera","Simuliidae","Summer19","5",2.397709492
"Relic Floodplain Channel","Benthic",2019-07-11,"Hydropsyche","L","insect","Aquatic","Trichoptera","Hydropsychidae","Summer19","1",614.5561986
"Relic Floodplain Channel","Benthic",2019-07-11,"Hydropsyche","L","insect","Aquatic","Trichoptera","Hydropsychidae","Summer19","2",22.15103075
"Relic Floodplain Channel","Benthic",2019-07-11,"Hydropsyche","L","insect","Aquatic","Trichoptera","Hydropsychidae","Summer19","3",0
"Relic Floodplain Channel","Benthic",2019-07-11,"Hydropsyche","L","insect","Aquatic","Trichoptera","Hydropsychidae","Summer19","4",125.3855068
"Relic Floodplain Channel","Benthic",2019-07-11,"Hydropsyche","L","insect","Aquatic","Trichoptera","Hydropsychidae","Summer19","5",0
"Relic Floodplain Channel","Benthic",2019-07-11,"Lepidostoma","L","insect","Aquatic","Trichoptera","Lepidostomatidae","Summer19","1",0.1896
"Relic Floodplain Channel","Benthic",2019-07-11,"Lepidostoma","L","insect","Aquatic","Trichoptera","Lepidostomatidae","Summer19","2",0.007191753
"Relic Floodplain Channel","Benthic",2019-07-11,"Lepidostoma","L","insect","Aquatic","Trichoptera","Lepidostomatidae","Summer19","3",0
"Relic Floodplain Channel","Benthic",2019-07-11,"Lepidostoma","L","insect","Aquatic","Trichoptera","Lepidostomatidae","Summer19","4",0
"Relic Floodplain Channel","Benthic",2019-07-11,"Lepidostoma","L","insect","Aquatic","Trichoptera","Lepidostomatidae","Summer19","5",0
"Relic Floodplain Channel","Benthic",2019-07-11,"Lepidostoma unicolor group","L","insect","Aquatic","Trichoptera","Lepidostomatidae","Summer19","1",84.4964247
"Relic Floodplain Channel","Benthic",2019-07-11,"Lepidostoma unicolor group","L","insect","Aquatic","Trichoptera","Lepidostomatidae","Summer19","2",15.20728227
"Relic Floodplain Channel","Benthic",2019-07-11,"Lepidostoma unicolor group","L","insect","Aquatic","Trichoptera","Lepidostomatidae","Summer19","3",0
"Relic Floodplain Channel","Benthic",2019-07-11,"Lepidostoma unicolor group","L","insect","Aquatic","Trichoptera","Lepidostomatidae","Summer19","4",0
"Relic Floodplain Channel","Benthic",2019-07-11,"Lepidostoma unicolor group","L","insect","Aquatic","Trichoptera","Lepidostomatidae","Summer19","5",0
"Relic Floodplain Channel","Benthic",2019-07-11,"Dicosmoecus gilvipes","L","insect","Aquatic","Trichoptera","Limnephilidae","Summer19","1",177.3067189
"Relic Floodplain Channel","Benthic",2019-07-11,"Dicosmoecus gilvipes","L","insect","Aquatic","Trichoptera","Limnephilidae","Summer19","2",474.7294196
"Relic Floodplain Channel","Benthic",2019-07-11,"Dicosmoecus gilvipes","L","insect","Aquatic","Trichoptera","Limnephilidae","Summer19","3",196.3551209
"Relic Floodplain Channel","Benthic",2019-07-11,"Dicosmoecus gilvipes","L","insect","Aquatic","Trichoptera","Limnephilidae","Summer19","4",145.8985985
"Relic Floodplain Channel","Benthic",2019-07-11,"Dicosmoecus gilvipes","L","insect","Aquatic","Trichoptera","Limnephilidae","Summer19","5",50.37534538
"Relic Floodplain Channel","Benthic",2019-07-11,"Onocosmoecus unicolor","L","insect","Aquatic","Trichoptera","Limnephilidae","Summer19","1",39.4464327
"Relic Floodplain Channel","Benthic",2019-07-11,"Onocosmoecus unicolor","L","insect","Aquatic","Trichoptera","Limnephilidae","Summer19","2",500.8536069
"Relic Floodplain Channel","Benthic",2019-07-11,"Onocosmoecus unicolor","L","insect","Aquatic","Trichoptera","Limnephilidae","Summer19","3",50.37534538
"Relic Floodplain Channel","Benthic",2019-07-11,"Onocosmoecus unicolor","L","insect","Aquatic","Trichoptera","Limnephilidae","Summer19","4",0
"Relic Floodplain Channel","Benthic",2019-07-11,"Onocosmoecus unicolor","L","insect","Aquatic","Trichoptera","Limnephilidae","Summer19","5",119.6246967
"Relic Floodplain Channel","Benthic",2019-07-11,"Rhyacophila betteni group","L","insect","Aquatic","Trichoptera","Rhyacophilidae","Summer19","1",165.2890048
"Relic Floodplain Channel","Benthic",2019-07-11,"Rhyacophila betteni group","L","insect","Aquatic","Trichoptera","Rhyacophilidae","Summer19","2",0
"Relic Floodplain Channel","Benthic",2019-07-11,"Rhyacophila betteni group","L","insect","Aquatic","Trichoptera","Rhyacophilidae","Summer19","3",0
"Relic Floodplain Channel","Benthic",2019-07-11,"Rhyacophila betteni group","L","insect","Aquatic","Trichoptera","Rhyacophilidae","Summer19","4",0
"Relic Floodplain Channel","Benthic",2019-07-11,"Rhyacophila betteni group","L","insect","Aquatic","Trichoptera","Rhyacophilidae","Summer19","5",0
"Relic Floodplain Channel","Benthic",2019-07-11,"Rhyacophila brunnea/vemna group","L","insect","Aquatic","Trichoptera","Rhyacophilidae","Summer19","1",0.649460524
"Relic Floodplain Channel","Benthic",2019-07-11,"Rhyacophila brunnea/vemna group","L","insect","Aquatic","Trichoptera","Rhyacophilidae","Summer19","2",0.315373859
"Relic Floodplain Channel","Benthic",2019-07-11,"Rhyacophila brunnea/vemna group","L","insect","Aquatic","Trichoptera","Rhyacophilidae","Summer19","3",0
"Relic Floodplain Channel","Benthic",2019-07-11,"Rhyacophila brunnea/vemna group","L","insect","Aquatic","Trichoptera","Rhyacophilidae","Summer19","4",5.730792823
"Relic Floodplain Channel","Benthic",2019-07-11,"Rhyacophila brunnea/vemna group","L","insect","Aquatic","Trichoptera","Rhyacophilidae","Summer19","5",0
"Relic Floodplain Channel","Benthic",2019-07-11,"Clinocera","L","insect","Aquatic","Diptera","Empididae","Summer19","1",7.396283807
"Relic Floodplain Channel","Benthic",2019-07-11,"Clinocera","L","insect","Aquatic","Diptera","Empididae","Summer19","2",4.303243162
"Relic Floodplain Channel","Benthic",2019-07-11,"Clinocera","L","insect","Aquatic","Diptera","Empididae","Summer19","3",1.062323181
"Relic Floodplain Channel","Benthic",2019-07-11,"Clinocera","L","insect","Aquatic","Diptera","Empididae","Summer19","4",9.952216144
"Relic Floodplain Channel","Benthic",2019-07-11,"Clinocera","L","insect","Aquatic","Diptera","Empididae","Summer19","5",5.249283853
"Relic Floodplain Channel","Benthic",2019-07-11,"Tabanidae","L","insect","Aquatic","Diptera","Tabanidae","Summer19","1",4.662166128
"Relic Floodplain Channel","Benthic",2019-07-11,"Tabanidae","L","insect","Aquatic","Diptera","Tabanidae","Summer19","2",18.8407129
"Relic Floodplain Channel","Benthic",2019-07-11,"Tabanidae","L","insect","Aquatic","Diptera","Tabanidae","Summer19","3",0
"Relic Floodplain Channel","Benthic",2019-07-11,"Tabanidae","L","insect","Aquatic","Diptera","Tabanidae","Summer19","4",28.09030557
"Relic Floodplain Channel","Benthic",2019-07-11,"Tabanidae","L","insect","Aquatic","Diptera","Tabanidae","Summer19","5",0.537072069
"Relic Floodplain Channel","Benthic",2019-07-11,"Anafroptilum/Procloeon","L","insect","Aquatic","Ephemeroptera","Baetidae","Summer19","1",21.96200349
"Relic Floodplain Channel","Benthic",2019-07-11,"Anafroptilum/Procloeon","L","insect","Aquatic","Ephemeroptera","Baetidae","Summer19","2",8.913795149
"Relic Floodplain Channel","Benthic",2019-07-11,"Anafroptilum/Procloeon","L","insect","Aquatic","Ephemeroptera","Baetidae","Summer19","3",0
"Relic Floodplain Channel","Benthic",2019-07-11,"Anafroptilum/Procloeon","L","insect","Aquatic","Ephemeroptera","Baetidae","Summer19","4",0
"Relic Floodplain Channel","Benthic",2019-07-11,"Anafroptilum/Procloeon","L","insect","Aquatic","Ephemeroptera","Baetidae","Summer19","5",0
"Relic Floodplain Channel","Benthic",2019-07-11,"Baetis alius","L","insect","Aquatic","Ephemeroptera","Baetidae","Summer19","1",145.6042778
"Relic Floodplain Channel","Benthic",2019-07-11,"Baetis alius","L","insect","Aquatic","Ephemeroptera","Baetidae","Summer19","2",201.7217673
"Relic Floodplain Channel","Benthic",2019-07-11,"Baetis alius","L","insect","Aquatic","Ephemeroptera","Baetidae","Summer19","3",48.521327
"Relic Floodplain Channel","Benthic",2019-07-11,"Baetis alius","L","insect","Aquatic","Ephemeroptera","Baetidae","Summer19","4",266.6469087
"Relic Floodplain Channel","Benthic",2019-07-11,"Baetis alius","L","insect","Aquatic","Ephemeroptera","Baetidae","Summer19","5",154.4769789
"Relic Floodplain Channel","Benthic",2019-07-11,"Baetis tricaudatus complex","L","insect","Aquatic","Ephemeroptera","Baetidae","Summer19","1",143.7896635
"Relic Floodplain Channel","Benthic",2019-07-11,"Baetis tricaudatus complex","L","insect","Aquatic","Ephemeroptera","Baetidae","Summer19","2",17.8367872
"Relic Floodplain Channel","Benthic",2019-07-11,"Baetis tricaudatus complex","L","insect","Aquatic","Ephemeroptera","Baetidae","Summer19","3",27.22455052
"Relic Floodplain Channel","Benthic",2019-07-11,"Baetis tricaudatus complex","L","insect","Aquatic","Ephemeroptera","Baetidae","Summer19","4",45.60511959
"Relic Floodplain Channel","Benthic",2019-07-11,"Baetis tricaudatus complex","L","insect","Aquatic","Ephemeroptera","Baetidae","Summer19","5",21.58916179
"Relic Floodplain Channel","Benthic",2019-07-11,"Attenella margarita","L","insect","Aquatic","Ephemeroptera","Ephemerellidae","Summer19","1",34.33020925
"Relic Floodplain Channel","Benthic",2019-07-11,"Attenella margarita","L","insect","Aquatic","Ephemeroptera","Ephemerellidae","Summer19","2",5.585440222
"Relic Floodplain Channel","Benthic",2019-07-11,"Attenella margarita","L","insect","Aquatic","Ephemeroptera","Ephemerellidae","Summer19","3",2.690959776
"Relic Floodplain Channel","Benthic",2019-07-11,"Attenella margarita","L","insect","Aquatic","Ephemeroptera","Ephemerellidae","Summer19","4",0.457244713
"Relic Floodplain Channel","Benthic",2019-07-11,"Attenella margarita","L","insect","Aquatic","Ephemeroptera","Ephemerellidae","Summer19","5",3.050218224
"Relic Floodplain Channel","Benthic",2019-07-11,"Ephemerella tibialis","L","insect","Aquatic","Ephemeroptera","Ephemerellidae","Summer19","1",261.5401089
"Relic Floodplain Channel","Benthic",2019-07-11,"Ephemerella tibialis","L","insect","Aquatic","Ephemeroptera","Ephemerellidae","Summer19","2",0
"Relic Floodplain Channel","Benthic",2019-07-11,"Ephemerella tibialis","L","insect","Aquatic","Ephemeroptera","Ephemerellidae","Summer19","3",2.702758042
"Relic Floodplain Channel","Benthic",2019-07-11,"Ephemerella tibialis","L","insect","Aquatic","Ephemeroptera","Ephemerellidae","Summer19","4",30.60788623
"Relic Floodplain Channel","Benthic",2019-07-11,"Ephemerella tibialis","L","insect","Aquatic","Ephemeroptera","Ephemerellidae","Summer19","5",78.53203136
"Relic Floodplain Channel","Benthic",2019-07-11,"Serratella micheneri","L","insect","Aquatic","Ephemeroptera","Ephemerellidae","Summer19","1",8.648825733
