"Treatment","Substrate","Date","Taxon","Stage","Insect","Origin","Order","Family","Season","Replicate","Biomass"
"Relic Floodplain Channel","Submerged Wood",2019-07-11,"Simulium","L","insect","Aquatic","Diptera","Simuliidae","Summer19","1",16.92227048
"Relic Floodplain Channel","Submerged Wood",2019-07-11,"Simulium","L","insect","Aquatic","Diptera","Simuliidae","Summer19","2",5.477388084
"Relic Floodplain Channel","Submerged Wood",2019-07-11,"Simulium","L","insect","Aquatic","Diptera","Simuliidae","Summer19","3",26.4254961
"Relic Floodplain Channel","Submerged Wood",2019-07-11,"Hydropsyche","L","insect","Aquatic","Trichoptera","Hydropsychidae","Summer19","1",20.99032388
"Relic Floodplain Channel","Submerged Wood",2019-07-11,"Hydropsyche","L","insect","Aquatic","Trichoptera","Hydropsychidae","Summer19","2",19.60709716
"Relic Floodplain Channel","Submerged Wood",2019-07-11,"Hydropsyche","L","insect","Aquatic","Trichoptera","Hydropsychidae","Summer19","3",0
"Relic Floodplain Channel","Submerged Wood",2019-07-11,"Hydroptila","L","insect","Aquatic","Trichoptera","Hydroptilidae","Summer19","1",0.338510172
"Relic Floodplain Channel","Submerged Wood",2019-07-11,"Hydroptila","L","insect","Aquatic","Trichoptera","Hydroptilidae","Summer19","2",0
"Relic Floodplain Channel","Submerged Wood",2019-07-11,"Hydroptila","L","insect","Aquatic","Trichoptera","Hydroptilidae","Summer19","3",0.267663189
"Relic Floodplain Channel","Submerged Wood",2019-07-11,"Ochrotrichia","L","insect","Aquatic","Trichoptera","Hydroptilidae","Summer19","1",0.540242809
"Relic Floodplain Channel","Submerged Wood",2019-07-11,"Ochrotrichia","L","insect","Aquatic","Trichoptera","Hydroptilidae","Summer19","2",0
"Relic Floodplain Channel","Submerged Wood",2019-07-11,"Ochrotrichia","L","insect","Aquatic","Trichoptera","Hydroptilidae","Summer19","3",0
"Relic Floodplain Channel","Submerged Wood",2019-07-11,"Rhyacophila angelita group","L","insect","Aquatic","Trichoptera","Rhyacophilidae","Summer19","1",5.54902715
"Relic Floodplain Channel","Submerged Wood",2019-07-11,"Rhyacophila angelita group","L","insect","Aquatic","Trichoptera","Rhyacophilidae","Summer19","2",0
"Relic Floodplain Channel","Submerged Wood",2019-07-11,"Rhyacophila angelita group","L","insect","Aquatic","Trichoptera","Rhyacophilidae","Summer19","3",0
"Relic Floodplain Channel","Submerged Wood",2019-07-11,"Dicranomyia","L","insect","Aquatic","Diptera","Tipulidae","Summer19","1",0.090388174
"Relic Floodplain Channel","Submerged Wood",2019-07-11,"Dicranomyia","L","insect","Aquatic","Diptera","Tipulidae","Summer19","2",0
"Relic Floodplain Channel","Submerged Wood",2019-07-11,"Dicranomyia","L","insect","Aquatic","Diptera","Tipulidae","Summer19","3",0
"Relic Floodplain Channel","Submerged Wood",2019-07-11,"Clinocera","L","insect","Aquatic","Diptera","Empididae","Summer19","1",0.499015283
"Relic Floodplain Channel","Submerged Wood",2019-07-11,"Clinocera","L","insect","Aquatic","Diptera","Empididae","Summer19","2",0.481633866
"Relic Floodplain Channel","Submerged Wood",2019-07-11,"Clinocera","L","insect","Aquatic","Diptera","Empididae","Summer19","3",10.29819935
"Relic Floodplain Channel","Submerged Wood",2019-07-11,"Dolichopodidae","L","insect","Aquatic","Diptera","Dolichopodidae","Summer19","1",1.01450568
"Relic Floodplain Channel","Submerged Wood",2019-07-11,"Dolichopodidae","L","insect","Aquatic","Diptera","Dolichopodidae","Summer19","2",0
"Relic Floodplain Channel","Submerged Wood",2019-07-11,"Dolichopodidae","L","insect","Aquatic","Diptera","Dolichopodidae","Summer19","3",0
"Relic Floodplain Channel","Submerged Wood",2019-07-11,"Baetis alius","L","insect","Aquatic","Ephemeroptera","Baetidae","Summer19","1",14.64604054
"Relic Floodplain Channel","Submerged Wood",2019-07-11,"Baetis alius","L","insect","Aquatic","Ephemeroptera","Baetidae","Summer19","2",10.12057594
"Relic Floodplain Channel","Submerged Wood",2019-07-11,"Baetis alius","L","insect","Aquatic","Ephemeroptera","Baetidae","Summer19","3",35.52550484
"Relic Floodplain Channel","Submerged Wood",2019-07-11,"Baetis tricaudatus complex","L","insect","Aquatic","Ephemeroptera","Baetidae","Summer19","1",4.186420862
