taxon,annual B
Pacifastacus,458.9171982
Baetis alius,80.54983867
Baetis tricaudatus complex,596.5334023
Diphetor hageni,16.56913374
Brachycentrus americanus,24.12982076
Micrasema,225.9892426
Capniidae,16.0301598
Chironomidae,12.99990045
Micropsectra,4.617152583
Cricotopus (Nostococladius),9.344544057
Eukiefferiella brehmi group,2.425429729
Eukiefferiella devonica group,6.753690808
Orthocladius,125.2864096
Rheocricotopus,0.845297532
Synorthocladius,1.12979942
Tvetenia bavarica group,5.307439838
Thienemannimyia complex,53.38822367
Chloroperlidae,21.63293387
Sweltsa,91.47379961
Ampumixis dispar,34.3515323
Clinocera,2.674046933
Neoplasta,13.31790175
Wiedemannia,7.86055362
Attenella margarita,11.09571559
Caudatella edmundsi,50.69694113
Caudatella hystrix,34.49656187
Drunella flavilinea,155.6846801
Ephemerella excrucians group,398.533683
Ephemerella tibialis,32.08613441
Matriella teresa,5.94148195
Serratella micheneri,34.85424771
Glossosoma,36.634794
Cinygmula,76.47323549
Epeorus,15.5749264
Epeorus albertae group,74.70734504
Arctopsyche,284.3157684
Hydropsyche,1568.605395
Hydroptila,9.403510648
Lepidostoma (Neodinarthrum),30.16914605
Neoleptophlebia/Paraleptophlebia,25.53437322
Dicosmoecus gilvipes,48.15140864
Nemata,18.43292066
Malenka,16.24613075
Zapada cinctipes,2.966500773
Oligochaeta,43.40789317
Ostracoda,0.878299637
Hesperoperla pacifica,971.5422997
Cultus,177.2469343
Isoperla,26.8322398
Osobenus yakimae,68.24461624
Perlinodes aurea,331.8415125
Skwala,440.400264
Pteronarcys californica,1224.403851
Rhyacophila arnaudi,47.64328595
Rhyacophila brunnea/vemna group,70.42993935
Simulium,12.53872204
Pisidium,4.479936217
Antocha,14.03321131
