taxon,annual B
Anafroptilum,15.73627837
Baetis alius,23.04888214
Baetis tricaudatus complex,37.59529125
Diphetor hageni,26.76912455
Labiobaetis,17.60565902
Brachycentrus americanus,5.513213064
Micrasema,5.47706449
Ceratopogoninae,10.42670939
Chironomidae,3.053243171
Phaenopsectra,96.75986595
Polypedilum,21.30356713
Cladotanytarsus,0.382017013
Micropsectra,7.556417139
Stempellinella,0.37955919
Tanytarsus,3.852102947
Brillia,5.774069893
Corynoneura,0.402399755
Heterotrissocladius marcidus group,9.124039188
Orthocladius,0.867022187
Parametriocnemus,22.05733725
Tvetenia bavarica group,2.424969688
Macropelopia,18.18309065
Malenka,80.4759866
Thienemannimyia complex,48.36888468
Cleptelmis addenda,4.295637351
Clinocera,10.41202763
Ephemerella excrucians group,138.9043067
Cinygma,22.47675632
Ironodes,20.02876955
Hydropsyche,20.52954859
Hydroptila,1.813030485
Lepidostoma unicolor group,23.21179402
Neoleptophlebia/Paraleptophlebia,92.24544859
Hydatophylax hesperus,101.9191904
Psychoglypha bella,153.5462513
Psychoglypha subborealis,27.85356387
Nemata,14.16244578
Oligochaeta,86.84315383
Ostracoda,1.857932107
Hesperoperla pacifica,66.65530977
Menetus,14.19271501
Rhyacophila brunnea/vemna group,14.42641721
