taxon,annual_P
Pacifastacus,201.9235672
Baetis alius,881.5203986
Baetis tricaudatus complex,6213.764405
Diphetor hageni,120.9833722
Brachycentrus americanus,74.79743554
Micrasema,834.4073947
Capniidae,67.32667114
Chironomidae,155.9988054
Micropsectra,55.405831
Cricotopus (Nostococladius),112.1345287
Eukiefferiella brehmi group,29.10515675
Eukiefferiella devonica group,81.0442897
Orthocladius,1503.436916
Rheocricotopus,10.14357039
Synorthocladius,13.55759304
Tvetenia bavarica group,63.68927806
Thienemannimyia complex,531.1920734
Chloroperlidae,108.1646693
Sweltsa,457.3689981
Ampumixis dispar,937.7968318
Clinocera,16.84649568
Neoplasta,68.84638957
Wiedemannia,38.24484009
Attenella margarita,78.77958071
Caudatella edmundsi,446.3149654
Caudatella hystrix,270.9465253
Drunella flavilinea,716.1738211
Ephemerella excrucians group,3058.754913
Ephemerella tibialis,227.8115543
Matriella teresa,42.18452184
Serratella micheneri,247.4651587
Glossosoma,138.8527765
Cinygmula,564.7406056
Epeorus,163.5024833
Epeorus albertae group,366.0659907
Arctopsyche,2506.557339
Hydropsyche,9390.369247
Hydroptila,121.3052874
Lepidostoma (Neodinarthrum),80.05228942
Neoleptophlebia/Paraleptophlebia,183.0610748
Dicosmoecus gilvipes,240.7570432
Nemata,92.16460332
Malenka,80.42250341
Zapada cinctipes,14.68493774
Oligochaeta,217.0394658
Ostracoda,8.78299637
Hesperoperla pacifica,5084.779095
Cultus,726.7124307
Isoperla,139.288002
Osobenus yakimae,279.8029266
Perlinodes aurea,1360.550201
Skwala,1805.641083
Pteronarcys californica,1469.284621
Rhyacophila arnaudi,165.7281745
Rhyacophila brunnea/vemna group,244.9920286
Simulium,102.0168125
Pisidium,17.02375763
Antocha,92.14998006
