taxon,annual_P
Ampumixis dispar,59.89471957
Attenella delantala,216.1002883
Attenella margarita,12.91623228
Baetis alius,190.9746593
Baetis tricaudatus complex,1496.880702
Brachycentrus americanus,34.17128361
Ceratopogoninae,61.7121599
Chelifera/Metachela,30.91622811
Chironomidae,33.50512473
Chloroperlidae,16.67058659
Cinygmula,1006.330533
Cladotanytarsus,21.44778741
Clinocera,53.03951565
Cricotopus (Nostococladius),11.38333208
Cultus,263.3168811
Dicosmoecus gilvipes,429.1536391
Diphetor hageni,59.43355488
Drunella flavilinea,67.59490032
Epeorus,20.59860636
Ephemerella excrucians group,637.5119534
Eukiefferiella devonica group,4.893136258
Glossosoma,75.7436777
Hesperoperla pacifica,2229.919901
Heterotrissocladius marcidus group,19.99927342
Hydropsyche,1555.786709
Hydroptila,30.79819313
Ironodes,194.1508709
Isoperla,34.11762696
Lepidostoma (Neodinarthrum),7.753140605
Malenka,82.15585972
Micropsectra,51.44966483
Narpus concolor,29.57276527
Nemata,145.120224
Neoleptophlebia/Paraleptophlebia,93.78727789
Neoplasta,12.1512046
Oligochaeta,120.51781
Onocosmoecus unicolor,452.1110081
Orthocladius,136.3535385
Ostracoda,2.924611895
Pagastia,59.38052936
Parametriocnemus,93.42891426
Paratanytarsus,90.50832524
Perlodidae,16.63747364
Phaenopsectra,536.3916835
Polypedilum,86.93250196
Psectrocladius,124.2291409
Rhithrogena,366.36423
Rhyacophila betteni group,44.62343186
Rhyacophila brunnea/vemna group,75.17001297
Simulium,71.4713438
Skwala,1228.857638
Stempellinella,3.889272963
Sweltsa,49.9580152
Synorthocladius,7.720565912
Tanytarsus,26.48915571
Thienemannimyia complex,402.4654674
Tvetenia bavarica group,25.27221651
Zapada cinctipes,6.753630875
