taxon,annual_P
Baetis alius,449.1967694
Baetis tricaudatus complex,1186.39644
Diphetor hageni,310.4828923
Brachycentrus americanus,34.14365018
Micrasema,53.1686431
Capniidae,2.68541367
Ceratopogoninae,24.20811573
Chironomidae,18.89233234
Polypedilum,38.79309001
Cladotanytarsus,8.224184834
Micropsectra,19.64674605
Rheotanytarsus,5.731290005
Stempellinella,1.900932453
Tanytarsus,15.08110356
Pagastia,89.27140362
Brillia,30.79971811
Corynoneura,7.326251629
Nanocladius,3.127008138
Orthocladius,22.47538296
Parametriocnemus,93.26866661
Rheocricotopus,9.197634751
Thienemanniella,4.801743167
Tvetenia bavarica group,82.36775426
Pentaneura,36.49637726
Thienemannimyia complex,212.5814301
Ampumixis dispar,27.93516566
Clinocera,10.63819128
Neoplasta,5.51636259
Attenella delantala,35.55457271
Attenella margarita,16.67481855
Caudatella edmundsi,21.30676489
Drunella flavilinea,7.546645797
Ephemerella excrucians group,413.9494269
Cinygmula,145.7040528
Ironodes,130.7885472
Hydropsyche,303.7434479
Hydroptila,15.49855273
Lepidostoma unicolor group,99.03409916
Neoleptophlebia/Paraleptophlebia,282.1809654
Dicosmoecus gilvipes,262.5799379
Nemata,74.30917366
Malenka,111.5557862
Oligochaeta,257.2110417
Ostracoda,1.985556262
Hesperoperla pacifica,291.7935457
Cultus,20.20581413
Isoperla,236.8363937
Skwala,201.308563
Menetus,115.7368902
Rhyacophila brunnea/vemna group,86.58967451
Simulium,163.7398347
Pisidium,17.49654146
