taxon,annual_P
Anafroptilum,377.6706809
Baetis alius,252.2420914
Baetis tricaudatus complex,391.6097265
Diphetor hageni,195.4609704
Labiobaetis,422.5358164
Brachycentrus americanus,17.08981608
Micrasema,20.22265777
Ceratopogoninae,60.47491446
Chironomidae,36.63891806
Phaenopsectra,1161.118391
Polypedilum,255.6428056
Cladotanytarsus,4.584204151
Micropsectra,90.67700566
Stempellinella,4.554710276
Tanytarsus,46.22523537
Brillia,69.28883872
Corynoneura,4.828797066
Heterotrissocladius marcidus group,109.4884703
Orthocladius,10.40426624
Parametriocnemus,264.6880471
Tvetenia bavarica group,29.09963626
Macropelopia,218.1970878
Malenka,398.3767217
Thienemannimyia complex,481.2516015
Cleptelmis addenda,117.2708997
Clinocera,65.59577406
Ephemerella excrucians group,1066.093655
Cinygma,110.136106
Ironodes,184.0884054
Hydropsyche,122.8990046
Hydroptila,23.38809325
Lepidostoma unicolor group,211.2273256
Neoleptophlebia/Paraleptophlebia,661.3262376
Hydatophylax hesperus,509.5959519
Psychoglypha bella,767.7312563
Psychoglypha subborealis,139.2678194
Nemata,70.81222892
Oligochaeta,434.2157691
Ostracoda,18.57932107
Hesperoperla pacifica,348.8551407
Menetus,32.64324452
Rhyacophila brunnea/vemna group,50.18259637
