Waterbody,Treatment,Substrate,Date,Replicate,Taxon,Stage,Insect,Origin,Higher.classification,Order,Family,Common.name,Abundance,Biomass
South Fork McKenzie River,Phase 3,Benthic,2020-02-22,1,Brachycentrus americanus,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Brachycentridae,caddisflies,16,0.937923551
South Fork McKenzie River,Phase 3,Benthic,2020-02-22,1,Micrasema,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Brachycentridae,caddisflies,304,86.53955758
South Fork McKenzie River,Phase 3,Benthic,2020-02-22,1,Glossosoma,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Glossosomatidae,caddisflies,16,26.2848337
South Fork McKenzie River,Phase 3,Benthic,2020-02-22,1,Arctopsyche,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydropsychidae,caddisflies,17.6,477.3697579
South Fork McKenzie River,Phase 3,Benthic,2020-02-22,1,Hydropsyche,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydropsychidae,caddisflies,656,643.5829365
South Fork McKenzie River,Phase 3,Benthic,2020-02-22,1,Hydroptila,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydroptilidae,caddisflies,32,5.166916926
South Fork McKenzie River,Phase 3,Benthic,2020-02-22,1,Lepidostoma (Neodinarthrum),L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Lepidostomatidae,caddisflies,48,10.47380727
South Fork McKenzie River,Phase 3,Benthic,2020-02-22,1,Dicosmoecus gilvipes,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Limnephilidae,caddisflies,16,5.272933289
South Fork McKenzie River,Phase 3,Benthic,2020-02-22,1,Neoplasta,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Empididae,dance flies,80,15.48776726
South Fork McKenzie River,Phase 3,Benthic,2020-02-22,1,Wiedemannia,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Empididae,dance flies,80,32.96826743
South Fork McKenzie River,Phase 3,Benthic,2020-02-22,1,Polycelis,U,non-insect,Aquatic,Turbellaria,miscellaneous non-insect,Planariidae,flat worms,16,2.649719466
South Fork McKenzie River,Phase 3,Benthic,2020-02-22,1,Orohermes crepusculus,L,insect,Aquatic,Arthropoda: Insecta,Megaloptera,Corydalidae,hellgramites/dobsonflies,0.8,68.23108232
South Fork McKenzie River,Phase 3,Benthic,2020-02-22,1,Ameletus,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ameletidae,mayflies,16,0.740757976
South Fork McKenzie River,Phase 3,Benthic,2020-02-22,1,Baetis tricaudatus complex,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,3008,417.4813455
South Fork McKenzie River,Phase 3,Benthic,2020-02-22,1,Diphetor hageni,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,96,2.332414869
South Fork McKenzie River,Phase 3,Benthic,2020-02-22,1,Caudatella columbiella,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,32,1.540934061
South Fork McKenzie River,Phase 3,Benthic,2020-02-22,1,Caudatella edmundsi,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,192,42.45484813
South Fork McKenzie River,Phase 3,Benthic,2020-02-22,1,Caudatella hystrix,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,16,19.92002841
South Fork McKenzie River,Phase 3,Benthic,2020-02-22,1,Drunella flavilinea,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,304,48.00291749
South Fork McKenzie River,Phase 3,Benthic,2020-02-22,1,Ephemerella excrucians group,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,576,316.0545351
South Fork McKenzie River,Phase 3,Benthic,2020-02-22,1,Cinygmula,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,592,93.36130673
South Fork McKenzie River,Phase 3,Benthic,2020-02-22,1,Epeorus,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Heptageniidae,mayflies,560,16.62076505
South Fork McKenzie River,Phase 3,Benthic,2020-02-22,1,Neoleptophlebia/Paraleptophlebia,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Leptophlebiidae,mayflies,144,34.19444325
South Fork McKenzie River,Phase 3,Benthic,2020-02-22,1,Microtendipes pedellus group,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,16,3.131946321
South Fork McKenzie River,Phase 3,Benthic,2020-02-22,1,Cladotanytarsus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,48,0.530040727
South Fork McKenzie River,Phase 3,Benthic,2020-02-22,1,Micropsectra,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,16,0.510527113
South Fork McKenzie River,Phase 3,Benthic,2020-02-22,1,Potthastia longimana group,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Diamesinae,midges,16,1.943555689
South Fork McKenzie River,Phase 3,Benthic,2020-02-22,1,Cricotopus (Nostococladius),L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,96,4.496191254
South Fork McKenzie River,Phase 3,Benthic,2020-02-22,1,Eukiefferiella brehmi group,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,48,1.197734468
