Waterbody,Treatment,Substrate,Date,Replicate,Taxon,Stage,Insect,Origin,Higher.classification,Order,Family,Common.name,Abundance,Biomass
South Fork McKenzie River,Flooded Forest,Benthic,2019-07-09,1,Simulium,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Simuliidae,black flies,26.64,1.456050085
South Fork McKenzie River,Flooded Forest,Benthic,2019-07-09,1,Glossosoma,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Glossosomatidae,caddisflies,26.64,3.284389224
South Fork McKenzie River,Flooded Forest,Benthic,2019-07-09,1,Hydropsyche,P,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydropsychidae,caddisflies,26.64,103.3456146
South Fork McKenzie River,Flooded Forest,Benthic,2019-07-09,1,Hydroptila,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydroptilidae,caddisflies,53.28,2.16047047
South Fork McKenzie River,Flooded Forest,Benthic,2019-07-09,1,Psychoglypha bella,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Limnephilidae,caddisflies,55.5,1267.619905
South Fork McKenzie River,Flooded Forest,Benthic,2019-07-09,1,Rhyacophila brunnea/vemna group,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Rhyacophilidae,caddisflies,26.64,100.8842278
South Fork McKenzie River,Flooded Forest,Benthic,2019-07-09,1,Clinocera,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Empididae,dance flies,293.04,38.7478909
South Fork McKenzie River,Flooded Forest,Benthic,2019-07-09,1,Anafroptilum/Procloeon,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,79.92,63.18838989
South Fork McKenzie River,Flooded Forest,Benthic,2019-07-09,1,Baetis alius,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,666,163.0818966
South Fork McKenzie River,Flooded Forest,Benthic,2019-07-09,1,Baetis tricaudatus complex,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,319.68,22.87126393
South Fork McKenzie River,Flooded Forest,Benthic,2019-07-09,1,Drunella grandis/spinifera,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,26.64,0.050616
