Waterbody,Treatment,Substrate,Date,Taxon,Stage,Insect,Origin,Higher.classification,Order,Family,Common.name,Length,Abundance,Biomass
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Nemata,U,non-insect,Aquatic,Nemata,miscellaneous non-insect,x,round worms,5,96,23.94298216
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Nemata,U,non-insect,Aquatic,Nemata,miscellaneous non-insect,x,round worms,7,96,30.71234575
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Nemata,U,non-insect,Aquatic,Nemata,miscellaneous non-insect,x,round worms,10,96,39.98899031
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Sperchon,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,1,48,2.544
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Trombidiformes,U,non-insect,Aquatic,Arachnida: Acari,Trombidiformes,x,mites,0.5,480,4.5159414
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Torrenticola,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,0.5,144,1.35478242
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Torrenticola,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,1,48,2.544
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Lebertia,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,1,96,5.088
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Ostracoda,U,non-insect,Aquatic,Crustacea: Ostracoda,x,x,seed shrimp,1,96,0.648288
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Juga,U,non-insect,Aquatic,Mollusca: Gastropoda,x,Pleuroceridae,snails,1,48,0.9984
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Oligochaeta,U,non-insect,Aquatic,Annelida: Oligochaeta,miscellaneous non-insect,x,segmented worms,3,192,32.81256362
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Oligochaeta,U,non-insect,Aquatic,Annelida: Oligochaeta,miscellaneous non-insect,x,segmented worms,2,48,6.076767772
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Oligochaeta,U,non-insect,Aquatic,Annelida: Oligochaeta,miscellaneous non-insect,x,segmented worms,6,48,13.70068774
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Oribatida,U,non-insect,Aquatic,Arachnida: Acari,x,x,mites,0.5,48,0.45159414
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Baetis alius,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,1,960,5.088
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Baetis alius,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,2,2784,108.2446245
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Baetis alius,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,3,2640,329.3088511
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Baetis alius,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,4,624,177.984808
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Baetis alius,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,5,336,182.0345856
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Acentrella,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,1,96,0.92352
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Ephemerella tibialis,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,5,48,47.4634922
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Ephemerella tibialis,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,8,96,358.9626276
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Drunella grandis/spinifera,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,2.5,96,4.344074493
South Fork McKenzie River,Phase 3 monthly,Benthic,2019-07-15,Drunella grandis/spinifera,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Ephemerellidae,mayflies,1.5,48,0.370911753
