"Taxon","Treatment","Season","Replicate","Substrate","Date","Insect","Origin","Higher.classification","Order","Family","Common.name","Biomass"
"Ablabesmyia","Disturbed","Fall19","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Disturbed","Fall19","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Disturbed","Fall19","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Disturbed","Fall19","4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Disturbed","Fall19","5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Disturbed","Spring20","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Disturbed","Spring20","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Disturbed","Spring20","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Disturbed","Spring20","4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Disturbed","Spring20","5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Disturbed","Summer19","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Disturbed","Summer19","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Disturbed","Summer19","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Disturbed","Summer19","4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Disturbed","Summer19","5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Disturbed","Winter20","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Disturbed","Winter20","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Disturbed","Winter20","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Disturbed","Winter20","4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Disturbed","Winter20","5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Flooded Forest","Fall19","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Flooded Forest","Fall19","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Flooded Forest","Fall19","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Flooded Forest","Fall19","4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Flooded Forest","Fall19","5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Flooded Forest","Spring20","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Flooded Forest","Spring20","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Flooded Forest","Spring20","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Flooded Forest","Spring20","4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Flooded Forest","Spring20","5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Flooded Forest","Summer19","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Flooded Forest","Summer19","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Flooded Forest","Summer19","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Flooded Forest","Summer19","4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Flooded Forest","Summer19","5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Flooded Forest","Winter20","1","Benthic","2020-02-26","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Tanypodinae","midges",0
"Ablabesmyia","Flooded Forest","Winter20","2","Benthic","2020-02-26","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Tanypodinae","midges",0
"Ablabesmyia","Flooded Forest","Winter20","3","Benthic","2020-02-26","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Tanypodinae","midges",0
"Ablabesmyia","Flooded Forest","Winter20","4","Benthic","2020-02-26","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Tanypodinae","midges",0.621354754
"Ablabesmyia","Flooded Forest","Winter20","5","Benthic","2020-02-26","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Tanypodinae","midges",3.917236492
"Ablabesmyia","Phase 3","Fall19","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Phase 3","Fall19","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Phase 3","Fall19","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Phase 3","Fall19","4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Phase 3","Fall19","5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Phase 3","Spring20","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Phase 3","Spring20","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Phase 3","Spring20","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Phase 3","Spring20","4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Phase 3","Spring20","5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Phase 3","Summer19","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Phase 3","Summer19","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Phase 3","Summer19","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Phase 3","Summer19","4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ablabesmyia","Phase 3","Summer19","5",NA,NA,NA,NA,NA,NA,NA,NA,NA
