"Taxon","Treatment","Season","Replicate","Substrate","Date","Insect","Origin","Higher.classification","Order","Family","Common.name","Biomass"
"Acentrella","Disturbed","Fall19","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acentrella","Disturbed","Fall19","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acentrella","Disturbed","Fall19","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acentrella","Disturbed","Spring20","1","Submerged Wood","2020-05-05","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Baetidae","mayflies",0.0321308
"Acentrella","Disturbed","Spring20","2","Submerged Wood","2020-05-05","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Baetidae","mayflies",0.0160654
"Acentrella","Disturbed","Spring20","3","Submerged Wood","2020-05-05","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Baetidae","mayflies",0.065059356
"Acentrella","Disturbed","Summer19","1","Submerged Wood","2019-07-10","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Baetidae","mayflies",0
"Acentrella","Disturbed","Summer19","2","Submerged Wood","2019-07-10","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Baetidae","mayflies",0.393710257
"Acentrella","Disturbed","Summer19","3","Submerged Wood","2019-07-10","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Baetidae","mayflies",0
"Acentrella","Disturbed","Winter20","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acentrella","Disturbed","Winter20","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acentrella","Disturbed","Winter20","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acentrella","Relic Channel","Fall19","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acentrella","Relic Channel","Fall19","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acentrella","Relic Channel","Fall19","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acentrella","Relic Channel","Spring20","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acentrella","Relic Channel","Spring20","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acentrella","Relic Channel","Spring20","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acentrella","Relic Channel","Summer19","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acentrella","Relic Channel","Summer19","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acentrella","Relic Channel","Summer19","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acentrella","Relic Channel","Winter20","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acentrella","Relic Channel","Winter20","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acentrella","Relic Channel","Winter20","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agraylea","Disturbed","Fall19","1","Submerged Wood","2019-10-16","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Hydroptilidae","caddisflies",0
"Agraylea","Disturbed","Fall19","2","Submerged Wood","2019-10-16","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Hydroptilidae","caddisflies",0
"Agraylea","Disturbed","Fall19","3","Submerged Wood","2019-10-16","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Hydroptilidae","caddisflies",2.681114349
"Agraylea","Disturbed","Spring20","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agraylea","Disturbed","Spring20","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agraylea","Disturbed","Spring20","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agraylea","Disturbed","Summer19","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agraylea","Disturbed","Summer19","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agraylea","Disturbed","Summer19","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agraylea","Disturbed","Winter20","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agraylea","Disturbed","Winter20","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agraylea","Disturbed","Winter20","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agraylea","Relic Channel","Fall19","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agraylea","Relic Channel","Fall19","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agraylea","Relic Channel","Fall19","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agraylea","Relic Channel","Spring20","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agraylea","Relic Channel","Spring20","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agraylea","Relic Channel","Spring20","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agraylea","Relic Channel","Summer19","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agraylea","Relic Channel","Summer19","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
