"Treatment","Substrate","Date","Replicate","Taxon","Insect","Origin","Higher.classification","Order","Family","Common.name","Season","Biomass"
"Flooded Forest","Benthic",2019-07-09,1,"Simulium","insect","Aquatic","Arthropoda: Insecta","Diptera","Simuliidae","black flies","Summer19",1.456050085
"Flooded Forest","Benthic",2019-07-09,1,"Glossosoma","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Glossosomatidae","caddisflies","Summer19",3.284389224
"Flooded Forest","Benthic",2019-07-09,1,"Hydropsyche","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Hydropsychidae","caddisflies","Summer19",103.3456146
"Flooded Forest","Benthic",2019-07-09,1,"Hydroptila","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Hydroptilidae","caddisflies","Summer19",2.16047047
"Flooded Forest","Benthic",2019-07-09,1,"Psychoglypha bella","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Limnephilidae","caddisflies","Summer19",1267.619905
"Flooded Forest","Benthic",2019-07-09,1,"Rhyacophila brunnea/vemna group","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Rhyacophilidae","caddisflies","Summer19",100.8842278
"Flooded Forest","Benthic",2019-07-09,1,"Clinocera","insect","Aquatic","Arthropoda: Insecta","Diptera","Empididae","dance flies","Summer19",38.7478909
"Flooded Forest","Benthic",2019-07-09,1,"Anafroptilum/Procloeon","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Baetidae","mayflies","Summer19",63.18838989
"Flooded Forest","Benthic",2019-07-09,1,"Baetis alius","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Baetidae","mayflies","Summer19",163.0818966
"Flooded Forest","Benthic",2019-07-09,1,"Baetis tricaudatus complex","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Baetidae","mayflies","Summer19",22.87126393
"Flooded Forest","Benthic",2019-07-09,1,"Drunella grandis/spinifera","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies","Summer19",0.050616
"Flooded Forest","Benthic",2019-07-09,1,"Ephemerella tibialis","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies","Summer19",1.970073583
"Flooded Forest","Benthic",2019-07-09,1,"Neoleptophlebia/Paraleptophlebia","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Leptophlebiidae","mayflies","Summer19",196.5875542
"Flooded Forest","Benthic",2019-07-09,1,"Chironomidae","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae","midges","Summer19",3.387145141
"Flooded Forest","Benthic",2019-07-09,1,"Microtendipes pedellus group","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae","midges","Summer19",3.561035748
"Flooded Forest","Benthic",2019-07-09,1,"Paracladopelma","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae","midges","Summer19",5.946350033
"Flooded Forest","Benthic",2019-07-09,1,"Phaenopsectra","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae","midges","Summer19",454.5786023
"Flooded Forest","Benthic",2019-07-09,1,"Polypedilum","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae","midges","Summer19",64.23155348
"Flooded Forest","Benthic",2019-07-09,1,"Micropsectra","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae: Tanytarsini","midges","Summer19",48.55711144
"Flooded Forest","Benthic",2019-07-09,1,"Paratanytarsus","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae: Tanytarsini","midges","Summer19",5.490447644
"Flooded Forest","Benthic",2019-07-09,1,"Stempellinella","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae: Tanytarsini","midges","Summer19",0.235089958
"Flooded Forest","Benthic",2019-07-09,1,"Brillia","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",12.93413623
"Flooded Forest","Benthic",2019-07-09,1,"Corynoneura","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",2.994677105
"Flooded Forest","Benthic",2019-07-09,1,"Heterotrissocladius marcidus group","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",1.442213567
"Flooded Forest","Benthic",2019-07-09,1,"Krenosmittia","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",4.825753553
"Flooded Forest","Benthic",2019-07-09,1,"Nanocladius","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",1.442213567
"Flooded Forest","Benthic",2019-07-09,1,"Parametriocnemus","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",37.72522896
