"Waterbody","Treatment","Substrate","Date","Replicate","Taxon","Stage","Insect","Origin","Higher.classification","Order","Family","Common.name","Abundance","Biomass","Season"
"South Fork McKenzie River","Flooded Forest","Benthic",2019-07-09,1,"Simulium","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Simuliidae","black flies",26.64,1.456050085,"Summer19"
"South Fork McKenzie River","Flooded Forest","Benthic",2019-07-09,1,"Glossosoma","L","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Glossosomatidae","caddisflies",26.64,3.284389224,"Summer19"
"South Fork McKenzie River","Flooded Forest","Benthic",2019-07-09,1,"Hydropsyche","P","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Hydropsychidae","caddisflies",26.64,103.3456146,"Summer19"
"South Fork McKenzie River","Flooded Forest","Benthic",2019-07-09,1,"Hydroptila","L","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Hydroptilidae","caddisflies",53.28,2.16047047,"Summer19"
"South Fork McKenzie River","Flooded Forest","Benthic",2019-07-09,1,"Psychoglypha bella","L","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Limnephilidae","caddisflies",55.5,1267.619905,"Summer19"
"South Fork McKenzie River","Flooded Forest","Benthic",2019-07-09,1,"Rhyacophila brunnea/vemna group","L","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Rhyacophilidae","caddisflies",26.64,100.8842278,"Summer19"
"South Fork McKenzie River","Flooded Forest","Benthic",2019-07-09,1,"Clinocera","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Empididae","dance flies",293.04,38.7478909,"Summer19"
"South Fork McKenzie River","Flooded Forest","Benthic",2019-07-09,1,"Anafroptilum/Procloeon","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Baetidae","mayflies",79.92,63.18838989,"Summer19"
"South Fork McKenzie River","Flooded Forest","Benthic",2019-07-09,1,"Baetis alius","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Baetidae","mayflies",666,163.0818966,"Summer19"
"South Fork McKenzie River","Flooded Forest","Benthic",2019-07-09,1,"Baetis tricaudatus complex","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Baetidae","mayflies",319.68,22.87126393,"Summer19"
"South Fork McKenzie River","Flooded Forest","Benthic",2019-07-09,1,"Drunella grandis/spinifera","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies",26.64,0.050616,"Summer19"
"South Fork McKenzie River","Flooded Forest","Benthic",2019-07-09,1,"Ephemerella tibialis","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies",26.64,1.970073583,"Summer19"
"South Fork McKenzie River","Flooded Forest","Benthic",2019-07-09,1,"Neoleptophlebia/Paraleptophlebia","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Leptophlebiidae","mayflies",559.44,196.5875542,"Summer19"
"South Fork McKenzie River","Flooded Forest","Benthic",2019-07-09,1,"Chironomidae","P","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae","midges",106.56,3.387145141,"Summer19"
"South Fork McKenzie River","Flooded Forest","Benthic",2019-07-09,1,"Microtendipes pedellus group","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae","midges",90.3984,3.561035748,"Summer19"
"South Fork McKenzie River","Flooded Forest","Benthic",2019-07-09,1,"Paracladopelma","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae","midges",135.5976,5.946350033,"Summer19"
"South Fork McKenzie River","Flooded Forest","Benthic",2019-07-09,1,"Phaenopsectra","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae","midges",2259.96,454.5786023,"Summer19"
"South Fork McKenzie River","Flooded Forest","Benthic",2019-07-09,1,"Polypedilum","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae","midges",1310.7768,64.23155348,"Summer19"
"South Fork McKenzie River","Flooded Forest","Benthic",2019-07-09,1,"Micropsectra","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae: Tanytarsini","midges",1039.5816,48.55711144,"Summer19"
