"Treatment","Substrate","Date","Replicate","Taxon","Stage","Insect","Origin","Higher.classification","Order","Family","Common.name","Biomass","Season"
"Flooded Forest","Benthic",2019-07-09,1,"Simulium","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Simuliidae","black flies",1.456050085,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Glossosoma","L","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Glossosomatidae","caddisflies",3.284389224,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Hydropsyche","P","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Hydropsychidae","caddisflies",103.3456146,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Hydroptila","L","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Hydroptilidae","caddisflies",2.16047047,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Psychoglypha bella","L","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Limnephilidae","caddisflies",1267.619905,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Rhyacophila brunnea/vemna group","L","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Rhyacophilidae","caddisflies",100.8842278,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Clinocera","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Empididae","dance flies",38.7478909,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Anafroptilum/Procloeon","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Baetidae","mayflies",63.18838989,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Baetis alius","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Baetidae","mayflies",163.0818966,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Baetis tricaudatus complex","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Baetidae","mayflies",22.87126393,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Drunella grandis/spinifera","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies",0.050616,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Ephemerella tibialis","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies",1.970073583,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Neoleptophlebia/Paraleptophlebia","L","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Leptophlebiidae","mayflies",196.5875542,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Chironomidae","P","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae","midges",3.387145141,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Microtendipes pedellus group","L","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae","midges",3.561035748,"Summer19"
