"Treatment","Substrate","Date","Replicate","Taxon","Stage","Insect","Origin","Order","Family","Biomass","Season"
"Flooded Forest","Benthic",2019-07-09,1,"Simulium","L","insect","Aquatic","Diptera","Simuliidae",1.456050085,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Glossosoma","L","insect","Aquatic","Trichoptera","Glossosomatidae",3.284389224,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Hydropsyche","P","insect","Aquatic","Trichoptera","Hydropsychidae",103.3456146,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Hydroptila","L","insect","Aquatic","Trichoptera","Hydroptilidae",2.16047047,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Psychoglypha bella","L","insect","Aquatic","Trichoptera","Limnephilidae",1267.619905,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Rhyacophila brunnea/vemna group","L","insect","Aquatic","Trichoptera","Rhyacophilidae",100.8842278,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Clinocera","L","insect","Aquatic","Diptera","Empididae",38.7478909,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Anafroptilum/Procloeon","L","insect","Aquatic","Ephemeroptera","Baetidae",63.18838989,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Baetis alius","L","insect","Aquatic","Ephemeroptera","Baetidae",163.0818966,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Baetis tricaudatus complex","L","insect","Aquatic","Ephemeroptera","Baetidae",22.87126393,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Drunella grandis/spinifera","L","insect","Aquatic","Ephemeroptera","Ephemerellidae",0.050616,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Ephemerella tibialis","L","insect","Aquatic","Ephemeroptera","Ephemerellidae",1.970073583,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Neoleptophlebia/Paraleptophlebia","L","insect","Aquatic","Ephemeroptera","Leptophlebiidae",196.5875542,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Chironomidae","P","insect","Aquatic","Diptera","Chironomidae",3.387145141,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Microtendipes pedellus group","L","insect","Aquatic","Diptera","Chironomidae: Chironominae",3.561035748,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Paracladopelma","L","insect","Aquatic","Diptera","Chironomidae: Chironominae",5.946350033,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Phaenopsectra","L","insect","Aquatic","Diptera","Chironomidae: Chironominae",454.5786023,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Polypedilum","L","insect","Aquatic","Diptera","Chironomidae: Chironominae",64.23155348,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Micropsectra","L","insect","Aquatic","Diptera","Chironomidae: Chironominae: Tanytarsini",48.55711144,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Paratanytarsus","L","insect","Aquatic","Diptera","Chironomidae: Chironominae: Tanytarsini",5.490447644,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Stempellinella","L","insect","Aquatic","Diptera","Chironomidae: Chironominae: Tanytarsini",0.235089958,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Brillia","L","insect","Aquatic","Diptera","Chironomidae: Orthocladiinae",12.93413623,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Corynoneura","L","insect","Aquatic","Diptera","Chironomidae: Orthocladiinae",2.994677105,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Heterotrissocladius marcidus group","L","insect","Aquatic","Diptera","Chironomidae: Orthocladiinae",1.442213567,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Krenosmittia","L","insect","Aquatic","Diptera","Chironomidae: Orthocladiinae",4.825753553,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Nanocladius","L","insect","Aquatic","Diptera","Chironomidae: Orthocladiinae",1.442213567,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Parametriocnemus","L","insect","Aquatic","Diptera","Chironomidae: Orthocladiinae",37.72522896,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Psectrocladius","L","insect","Aquatic","Diptera","Chironomidae: Orthocladiinae",18.78407221,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Rheocricotopus","L","insect","Aquatic","Diptera","Chironomidae: Orthocladiinae",8.065172214,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Smittia","L","insect","Aquatic","Diptera","Chironomidae: Orthocladiinae",5.490447644,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Tvetenia bavarica group","L","insect","Aquatic","Diptera","Chironomidae: Orthocladiinae",29.04302074,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Macropelopia","L","insect","Aquatic","Diptera","Chironomidae: Tanypodinae",26.48834471,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Paramerina","L","insect","Aquatic","Diptera","Chironomidae: Tanypodinae",4.880878538,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Thienemannimyia complex","L","insect","Aquatic","Diptera","Chironomidae: Tanypodinae",92.1296506,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Trombidiformes","U","non-insect","Aquatic","Trombidiformes","x",0.250634748,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Lebertia","U","non-insect","Aquatic","x","x",4.23576,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Torrenticola","U","non-insect","Aquatic","x","x",0.250634748,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Forcipomyiinae","L","insect","Aquatic","Diptera","Ceratopogonidae",1.468176373,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Ampumixis dispar","L","insect","Aquatic","Coleoptera","Elmidae",10.66833526,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Cleptelmis addenda","L","insect","Aquatic","Coleoptera","Elmidae",10.66833526,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Nemata","U","non-insect","Aquatic","miscellaneous non-insect","x",32.90797585,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Ostracoda","U","non-insect","Aquatic","x","x",8.63519616,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Oligochaeta","U","non-insect","Aquatic","miscellaneous non-insect","x",85.14808222,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Malenka","L","insect","Aquatic","Plecoptera","Nemouridae",188.5251925,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Hesperoperla pacifica","L","insect","Aquatic","Plecoptera","Perlidae",1084.173923,"Summer19"
"Flooded Forest","Benthic",2019-07-09,1,"Chydoridae","U","non-insect","Aquatic","x","Chydoridae",0.03729863,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Simulium","L","insect","Aquatic","Diptera","Simuliidae",2.87952256,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Arctopsyche","L","insect","Aquatic","Trichoptera","Hydropsychidae",0.783389611,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Hydropsyche","L","insect","Aquatic","Trichoptera","Hydropsychidae",10.58186314,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Allocosmoecus partitus","L","insect","Aquatic","Trichoptera","Limnephilidae",35.75275808,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Dicosmoecus gilvipes","L","insect","Aquatic","Trichoptera","Limnephilidae",80.60055261,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Onocosmoecus unicolor","L","insect","Aquatic","Trichoptera","Limnephilidae",332.1431226,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Rhyacophila brunnea/vemna group","L","insect","Aquatic","Trichoptera","Rhyacophilidae",2.330582944,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Rhyacophila narvae","L","insect","Aquatic","Trichoptera","Rhyacophilidae",4.912106914,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Chelifera/Metachela","L","insect","Aquatic","Diptera","Empididae",13.3952906,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Clinocera","L","insect","Aquatic","Diptera","Empididae",5.301108395,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Empididae","P","insect","Aquatic","Diptera","Empididae",1.89578423,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Muscidae","L","insect","Aquatic","Diptera","Muscidae",1.271917973,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Anafroptilum/Procloeon","L","insect","Aquatic","Ephemeroptera","Baetidae",6.486547102,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Baetis alius","L","insect","Aquatic","Ephemeroptera","Baetidae",82.08338701,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Baetis tricaudatus complex","L","insect","Aquatic","Ephemeroptera","Baetidae",13.72252789,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Attenella delantala","L","insect","Aquatic","Ephemeroptera","Ephemerellidae",11.02831339,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Attenella margarita","L","insect","Aquatic","Ephemeroptera","Ephemerellidae",17.25469617,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Ephemerella tibialis","L","insect","Aquatic","Ephemeroptera","Ephemerellidae",90.3394838,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Matriella teresa","L","insect","Aquatic","Ephemeroptera","Ephemerellidae",21.80697962,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Serratella micheneri","L","insect","Aquatic","Ephemeroptera","Ephemerellidae",14.63304318,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Timpanoga hecuba","L","insect","Aquatic","Ephemeroptera","Ephemerellidae",7.147996354,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Epeorus albertae group","L","insect","Aquatic","Ephemeroptera","Heptageniidae",39.44161096,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Heptagenia","L","insect","Aquatic","Ephemeroptera","Heptageniidae",1.297876014,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Neoleptophlebia/Paraleptophlebia","L","insect","Aquatic","Ephemeroptera","Leptophlebiidae",4.872139091,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Chironomidae","P","insect","Aquatic","Diptera","Chironomidae",1.410302902,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Apedilum","L","insect","Aquatic","Diptera","Chironomidae: Chironominae",0.560368905,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Paracladopelma","L","insect","Aquatic","Diptera","Chironomidae: Chironominae",3.100071024,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Phaenopsectra","L","insect","Aquatic","Diptera","Chironomidae: Chironominae",13.37431684,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Polypedilum","L","insect","Aquatic","Diptera","Chironomidae: Chironominae",9.533418641,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Micropsectra","L","insect","Aquatic","Diptera","Chironomidae: Chironominae: Tanytarsini",4.240173514,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Paratanytarsus","L","insect","Aquatic","Diptera","Chironomidae: Chironominae: Tanytarsini",0.65171259,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Stempellinella","L","insect","Aquatic","Diptera","Chironomidae: Chironominae: Tanytarsini",0.994692,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Tanytarsus","L","insect","Aquatic","Diptera","Chironomidae: Chironominae: Tanytarsini",3.634117173,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Potthastia gaedii group","L","insect","Aquatic","Diptera","Chironomidae: Diamesinae",0.263942517,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Potthastia longimana group","L","insect","Aquatic","Diptera","Chironomidae: Diamesinae",3.238432496,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Brillia","L","insect","Aquatic","Diptera","Chironomidae: Orthocladiinae",3.238432496,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Corynoneura","L","insect","Aquatic","Diptera","Chironomidae: Orthocladiinae",0.730749483,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Eukiefferiella claripennis group","L","insect","Aquatic","Diptera","Chironomidae: Orthocladiinae",0.091343685,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Eukiefferiella pseudomontana group","L","insect","Aquatic","Diptera","Chironomidae: Orthocladiinae",0.274031056,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Krenosmittia","L","insect","Aquatic","Diptera","Chironomidae: Orthocladiinae",0.527885035,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Orthocladius","L","insect","Aquatic","Diptera","Chironomidae: Orthocladiinae",0.527885035,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Parametriocnemus","L","insect","Aquatic","Diptera","Chironomidae: Orthocladiinae",10.2958396,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Psectrocladius","L","insect","Aquatic","Diptera","Chironomidae: Orthocladiinae",0.560368905,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Rheocricotopus","L","insect","Aquatic","Diptera","Chironomidae: Orthocladiinae",2.641134343,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Synorthocladius","L","insect","Aquatic","Diptera","Chironomidae: Orthocladiinae",0.263942517,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Tvetenia bavarica group","L","insect","Aquatic","Diptera","Chironomidae: Orthocladiinae",0.537973573,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Pentaneura","L","insect","Aquatic","Diptera","Chironomidae: Tanypodinae",2.423843646,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Thienemannimyia complex","L","insect","Aquatic","Diptera","Chironomidae: Tanypodinae",44.26786139,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Trombidiformes","U","non-insect","Aquatic","Trombidiformes","x",0.363964688,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Atractides","U","non-insect","Aquatic","x","x",0.309096,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Oribatida","U","non-insect","Aquatic","x","x",0.054868688,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Torrenticola","U","non-insect","Aquatic","x","x",0.927288,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Ceratopogonidae","P","insect","Aquatic","Diptera","Ceratopogonidae",0.446934255,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Ampumixis dispar","L","insect","Aquatic","Coleoptera","Elmidae",4.578689959,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Nemata","U","non-insect","Aquatic","miscellaneous non-insect","x",8.026656174,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Ostracoda","U","non-insect","Aquatic","x","x",0.283849848,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Oligochaeta","U","non-insect","Aquatic","miscellaneous non-insect","x",11.79823438,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Capniidae","L","insect","Aquatic","Plecoptera","Capniidae",3.439996993,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Chloroperlidae","L","insect","Aquatic","Plecoptera","Chloroperlidae",3.03896126,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Leuctridae","L","insect","Aquatic","Plecoptera","Leuctridae",0.707907744,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Malenka","L","insect","Aquatic","Plecoptera","Nemouridae",78.26140716,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Zapada cinctipes","L","insect","Aquatic","Plecoptera","Nemouridae",0.232829479,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Hesperoperla pacifica","L","insect","Aquatic","Plecoptera","Perlidae",55.42094734,"Summer19"
"Disturbed","Benthic",2019-07-10,1,"Skwala","L","insect","Aquatic","Plecoptera","Perlodidae",23.3499063,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Simulium","L","insect","Aquatic","Diptera","Simuliidae",35.38283723,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Brachycentrus americanus","L","insect","Aquatic","Trichoptera","Brachycentridae",57.14700013,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Brachycentrus occidentalis","L","insect","Aquatic","Trichoptera","Brachycentridae",0.87895984,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Micrasema","L","insect","Aquatic","Trichoptera","Brachycentridae",4.609846744,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Brachycentrus americanus","P","insect","Aquatic","Trichoptera","Brachycentridae",11.57861144,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Hydropsyche","L","insect","Aquatic","Trichoptera","Hydropsychidae",13.95958642,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Ochrotrichia","L","insect","Aquatic","Trichoptera","Hydroptilidae",0.583356012,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Rhyacophila brunnea/vemna group","L","insect","Aquatic","Trichoptera","Rhyacophilidae",1.573717641,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Dicranomyia","L","insect","Aquatic","Diptera","Tipulidae",2.747622892,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Clinocera","L","insect","Aquatic","Diptera","Empididae",1.081548518,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Baetis alius","L","insect","Aquatic","Ephemeroptera","Baetidae",1.610464313,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Baetis tricaudatus complex","L","insect","Aquatic","Ephemeroptera","Baetidae",78.38040715,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Caudatella heterocaudata","L","insect","Aquatic","Ephemeroptera","Ephemerellidae",5.972939899,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Drunella grandis/spinifera","L","insect","Aquatic","Ephemeroptera","Ephemerellidae",29.33683472,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Ephemerella tibialis","L","insect","Aquatic","Ephemeroptera","Ephemerellidae",1.976517191,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Matriella teresa","L","insect","Aquatic","Ephemeroptera","Ephemerellidae",1.976517191,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Epeorus longimanus","L","insect","Aquatic","Ephemeroptera","Heptageniidae",7.658154038,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Chironomidae","P","insect","Aquatic","Diptera","Chironomidae",0.385983129,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Polypedilum","L","insect","Aquatic","Diptera","Chironomidae: Chironominae",1.101574929,"Summer19"
"Disturbed","Submerged Wood",2019-07-10,1,"Micropsectra","L","insect","Aquatic","Diptera","Chironomidae: Chironominae: Tanytarsini",0.793816353,"Summer19"
