"Treatment","Substrate","Date","Replicate","Taxon","Insect","Origin","Higher.classification","Order","Family","Common.name","Season","Biomass"
"Disturbed","Submerged Wood",2019-07-10,1,"Simulium","insect","Aquatic","Arthropoda: Insecta","Diptera","Simuliidae","black flies","Summer19",35.38283723
"Disturbed","Submerged Wood",2019-07-10,1,"Brachycentrus americanus","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Brachycentridae","caddisflies","Summer19",68.72561157
"Disturbed","Submerged Wood",2019-07-10,1,"Brachycentrus occidentalis","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Brachycentridae","caddisflies","Summer19",0.87895984
"Disturbed","Submerged Wood",2019-07-10,1,"Micrasema","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Brachycentridae","caddisflies","Summer19",4.609846744
"Disturbed","Submerged Wood",2019-07-10,1,"Hydropsyche","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Hydropsychidae","caddisflies","Summer19",13.95958642
"Disturbed","Submerged Wood",2019-07-10,1,"Ochrotrichia","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Hydroptilidae","caddisflies","Summer19",0.583356012
"Disturbed","Submerged Wood",2019-07-10,1,"Rhyacophila brunnea/vemna group","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Rhyacophilidae","caddisflies","Summer19",1.573717641
"Disturbed","Submerged Wood",2019-07-10,1,"Dicranomyia","insect","Aquatic","Arthropoda: Insecta","Diptera","Tipulidae","crane flies","Summer19",2.747622892
"Disturbed","Submerged Wood",2019-07-10,1,"Clinocera","insect","Aquatic","Arthropoda: Insecta","Diptera","Empididae","dance flies","Summer19",1.081548518
"Disturbed","Submerged Wood",2019-07-10,1,"Baetis alius","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Baetidae","mayflies","Summer19",1.610464313
"Disturbed","Submerged Wood",2019-07-10,1,"Baetis tricaudatus complex","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Baetidae","mayflies","Summer19",78.38040715
"Disturbed","Submerged Wood",2019-07-10,1,"Caudatella heterocaudata","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies","Summer19",5.972939899
"Disturbed","Submerged Wood",2019-07-10,1,"Drunella grandis/spinifera","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies","Summer19",29.33683472
"Disturbed","Submerged Wood",2019-07-10,1,"Ephemerella tibialis","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies","Summer19",1.976517191
"Disturbed","Submerged Wood",2019-07-10,1,"Matriella teresa","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies","Summer19",1.976517191
"Disturbed","Submerged Wood",2019-07-10,1,"Epeorus longimanus","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Heptageniidae","mayflies","Summer19",7.658154038
"Disturbed","Submerged Wood",2019-07-10,1,"Chironomidae","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae","midges","Summer19",0.385983129
"Disturbed","Submerged Wood",2019-07-10,1,"Polypedilum","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae","midges","Summer19",1.101574929
"Disturbed","Submerged Wood",2019-07-10,1,"Micropsectra","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae: Tanytarsini","midges","Summer19",0.793816353
"Disturbed","Submerged Wood",2019-07-10,1,"Paratanytarsus","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae: Tanytarsini","midges","Summer19",0.065649961
"Disturbed","Submerged Wood",2019-07-10,1,"Boreoheptagyia","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Diamesinae","midges","Summer19",0.094849556
"Disturbed","Submerged Wood",2019-07-10,1,"Pagastia","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Diamesinae","midges","Summer19",0.361088353
"Disturbed","Submerged Wood",2019-07-10,1,"Brillia","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",0.562460766
"Disturbed","Submerged Wood",2019-07-10,1,"Corynoneura","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",0.065649961
"Disturbed","Submerged Wood",2019-07-10,1,"Cricotopus (Nostococladius)","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",0.015461079
"Disturbed","Submerged Wood",2019-07-10,1,"Eukiefferiella claripennis group","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",0.32462442
"Disturbed","Submerged Wood",2019-07-10,1,"Eukiefferiella devonica group","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",0.671197663
"Disturbed","Submerged Wood",2019-07-10,1,"Eukiefferiella pseudomontana group","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",0.065649961
"Disturbed","Submerged Wood",2019-07-10,1,"Orthocladius","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",17.6717171
"Disturbed","Submerged Wood",2019-07-10,1,"Parametriocnemus","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",1.44435341
"Disturbed","Submerged Wood",2019-07-10,1,"Tvetenia bavarica group","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",3.027869659
"Disturbed","Submerged Wood",2019-07-10,1,"Thienemannimyia complex","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Tanypodinae","midges","Summer19",0.722176705
"Disturbed","Submerged Wood",2019-07-10,1,"Ampumixis dispar","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles","Summer19",8.037882562
"Disturbed","Submerged Wood",2019-07-10,1,"Nemata","non-insect","Aquatic","Nemata","miscellaneous non-insect","x","round worms","Summer19",0.589755863
"Disturbed","Submerged Wood",2019-07-10,1,"Oligochaeta","non-insect","Aquatic","Annelida: Oligochaeta","miscellaneous non-insect","x","segmented worms","Summer19",1.864499535
"Disturbed","Submerged Wood",2019-07-10,1,"Malenka","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Nemouridae","stoneflies","Summer19",2.145807473
"Disturbed","Submerged Wood",2019-07-10,1,"Yoraperla","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Peltoperlidae","stoneflies","Summer19",0.620507734
"Disturbed","Submerged Wood",2019-07-10,1,"Hesperoperla pacifica","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Perlidae","stoneflies","Summer19",0.411567387
"Disturbed","Submerged Wood",2019-07-10,1,"Skwala","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Perlodidae","stoneflies","Summer19",0.389777524
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Simulium","insect","Aquatic","Arthropoda: Insecta","Diptera","Simuliidae","black flies","Summer19",16.92227048
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Micrasema","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Brachycentridae","caddisflies","Summer19",2.339013558
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Hydropsyche","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Hydropsychidae","caddisflies","Summer19",20.99032388
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Hydroptila","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Hydroptilidae","caddisflies","Summer19",0.338510172
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Ochrotrichia","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Hydroptilidae","caddisflies","Summer19",0.878752981
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Rhyacophila angelita group","insect","Aquatic","Arthropoda: Insecta","Trichoptera","Rhyacophilidae","caddisflies","Summer19",5.54902715
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Dicranomyia","insect","Aquatic","Arthropoda: Insecta","Diptera","Tipulidae","crane flies","Summer19",0.090388174
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Clinocera","insect","Aquatic","Arthropoda: Insecta","Diptera","Empididae","dance flies","Summer19",0.499015283
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Dolichopodidae","insect","Aquatic","Arthropoda: Insecta","Diptera","Dolichopodidae","long-legged flies","Summer19",1.01450568
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Baetis alius","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Baetidae","mayflies","Summer19",14.64604054
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Baetis tricaudatus complex","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Baetidae","mayflies","Summer19",4.186420862
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Attenella margarita","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies","Summer19",1.644586779
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Drunella coloradensis/flavilinea","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies","Summer19",2.663847082
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Drunella grandis/spinifera","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies","Summer19",0.041294842
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Ephemerella excrucians group","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies","Summer19",0.594774618
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Ephemerella tibialis","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies","Summer19",16.2065052
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Matriella teresa","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies","Summer19",6.074761276
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Timpanoga hecuba","insect","Aquatic","Arthropoda: Insecta","Ephemeroptera","Ephemerellidae","mayflies","Summer19",1.562692034
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Chironomidae","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae","midges","Summer19",2.598261039
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Polypedilum","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae","midges","Summer19",12.58302217
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Cladotanytarsus","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae: Tanytarsini","midges","Summer19",0.0295056
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Micropsectra","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae: Tanytarsini","midges","Summer19",2.801139965
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Paratanytarsus","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae: Tanytarsini","midges","Summer19",0.429548913
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Rheotanytarsus","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Chironominae: Tanytarsini","midges","Summer19",0.181008911
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Pagastia","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Diamesinae","midges","Summer19",8.49137825
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Potthastia gaedii group","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Diamesinae","midges","Summer19",1.113875775
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Potthastia longimana group","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Diamesinae","midges","Summer19",1.134468659
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Brillia","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",1.774821757
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Eukiefferiella brehmi group","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",0.259032857
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Eukiefferiella claripennis group","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",0.495794196
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Limnophyes","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",0.200021656
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Nanocladius","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",0.314785285
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Orthocladius","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",5.002772546
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Orthocladius (Symposiocladius)","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",0.170516056
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Parakiefferiella","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",0.059011201
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Parametriocnemus","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",0.6491476
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Rheocricotopus","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",0.0295056
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Thienemanniella","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",0.20328043
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Tvetenia bavarica group","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Orthocladiinae","midges","Summer19",22.15677678
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Pentaneura","insect","Aquatic","Arthropoda: Insecta","Diptera","Chironomidae: Tanypodinae","midges","Summer19",1.046070071
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Sperchon","non-insect","Aquatic","Arachnida: Acari","x","x","mites","Summer19",0.141616
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Ampumixis dispar","insect","Aquatic","Arthropoda: Insecta","Coleoptera","Elmidae","riffle beetles","Summer19",6.122227186
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Nemata","non-insect","Aquatic","Nemata","miscellaneous non-insect","x","round worms","Summer19",0.666413003
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Oligochaeta","non-insect","Aquatic","Annelida: Oligochaeta","miscellaneous non-insect","x","segmented worms","Summer19",3.622931184
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Malenka","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Nemouridae","stoneflies","Summer19",13.7255289
"Relic Floodplain Channel","Submerged Wood",2019-07-11,1,"Yoraperla","insect","Aquatic","Arthropoda: Insecta","Plecoptera","Peltoperlidae","stoneflies","Summer19",8.270378056
