,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Waterbody,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River,South Fork McKenzie River
,,,,,,,Treatment,Disturbed,Disturbed,Disturbed,Disturbed,Disturbed,Disturbed,Disturbed,Disturbed,Flooded Forest,Flooded Forest,Flooded Forest,Flooded Forest,Flooded Forest,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 4,Phase 4,Phase 4,Phase 4,Phase 4,Relic Channel,Relic Channel,Relic Channel,Relic Channel,Relic Channel,Relic Channel,Relic Channel,Relic Channel
,,,,,,,Substrate,Benthic,Benthic,Benthic,Benthic,Benthic,Submerged Wood,Submerged Wood,Submerged Wood,Benthic,Benthic,Benthic,Benthic,Benthic,Benthic,Benthic,Benthic,Benthic,Benthic,Benthic,Benthic,Benthic,Benthic,Benthic,Benthic,Benthic,Benthic,Benthic,Benthic,Submerged Wood,Submerged Wood,Submerged Wood
,,,,,,,Date,2020-02-23,2020-02-23,2020-02-23,2020-02-23,2020-02-23,2020-02-23,2020-02-23,2020-02-23,2020-02-26,2020-02-26,2020-02-26,2020-02-26,2020-02-26,2020-02-22,2020-02-22,2020-02-22,2020-02-22,2020-02-22,2020-02-22,2020-02-22,2020-02-22,2020-02-22,2020-02-22,2020-02-25,2020-02-25,2020-02-25,2020-02-25,2020-02-25,2020-02-25,2020-02-25,2020-02-25
,,,,,,,Replicate,1,2,3,4,5,1,2,3,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3
Taxon,Stage,Insect?,Origin,Higher classification,Order,Family,Common name,Biomass (mg),Biomass (mg),Biomass (mg),Biomass (mg),Biomass (mg),Biomass (mg),Biomass (mg),Biomass (mg),Biomass (mg),Biomass (mg),Biomass (mg),Biomass (mg),Biomass (mg),Biomass (mg),Biomass (mg),Biomass (mg),Biomass (mg),Biomass (mg),Biomass (mg),Biomass (mg),Biomass (mg),Biomass (mg),Biomass (mg),Biomass (mg),Biomass (mg),Biomass (mg),Biomass (mg),Biomass (mg),Biomass (mg),Biomass (mg),Biomass (mg)
Hydra,U,non-insect,Aquatic,Cnidaria: Hydrozoa,miscellaneous non-insect,Hydridae,hydroids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04322,0,0,0,0,0,0,0,0
Polycelis,U,non-insect,Aquatic,Turbellaria,miscellaneous non-insect,Planariidae,flat worms,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65,7.659,0,0,12.82,11.17,0,0,1.146,1.719,0,0,0,0,0.6624,0,0,0
Nemata,U,non-insect,Aquatic,Nemata,miscellaneous non-insect,x,round worms,15.36,7.832,40.99,78.37,27.2,0.6956,0,0,0,1.672,2.046,0,0,5.119,36,0,0,14.14,0,8.19,2.131,3.14,0,0,0,5.637,3.535,0.9976,1.024,0.2559,0
Oligochaeta,U,non-insect,Aquatic,Annelida: Oligochaeta,miscellaneous non-insect,x,segmented worms,22.39,6.032,15.07,12.86,3.99,0,0.4228,0,16.4,34.52,8.874,11.92,189.7,21.41,25.16,30.27,5.986,43.27,14.96,8.022,2.666,3.285,3.476,21.7,6.407,19.81,16.43,8.302,1.876,0.3332,4.304
Pristinicola hemphilli,U,non-insect,Aquatic,Mollusca: Gastropoda,x,uncertain status,snails,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.069,0,0,0,0,0,0,0,0,0,0
