Waterbody,Treatment,Substrate,Date,Replicate,Taxon,Stage,Insect,Origin,Higher.classification,Order,Family,Common.name,Abundance,Biomass
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Simulium,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Simuliidae,black flies,2445.7884,379.269356
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Simulium,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Simuliidae,black flies,111.1722,9.665294184
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Brachycentrus americanus,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Brachycentridae,caddisflies,37.0574,6.918966545
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Micrasema,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Brachycentridae,caddisflies,296.4592,16.03954502
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Glossosoma,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Glossosomatidae,caddisflies,37.0574,2.361214953
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Hydropsyche,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydropsychidae,caddisflies,259.4018,94.79079756
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Agraylea,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydroptilidae,caddisflies,37.0574,20.01883567
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Hydroptila,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydroptilidae,caddisflies,111.1722,5.767518149
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Lepidostoma (Neodinarthrum),L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Lepidostomatidae,caddisflies,370.574,26.92038466
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Lepidostoma-panel case larvae,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Lepidostomatidae,caddisflies,111.1722,152.1556205
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Hydatophylax hesperus,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Limnephilidae,caddisflies,185.287,692.9219786
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Polycentropus,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Polycentopodidae,caddisflies,37.0574,15.4606011
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Rhyacophila brunnea/vemna group,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Rhyacophilidae,caddisflies,37.0574,31.21226179
South Fork McKenzie River,Flooded Forest,Benthic,2019-10-15,1,Clinocera,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Empididae,dance flies,37.0574,0.561819813
