Waterbody,Treatment,Substrate,Date,Replicate,Taxon,Stage,Insect,Origin,Higher.classification,Order,Family,Common.name,Abundance,Biomass
South Fork McKenzie River,Disturbed,Benthic,2020-05-04,1,Hydropsyche,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydropsychidae,caddisflies,12.8,14.31308778
South Fork McKenzie River,Disturbed,Benthic,2020-05-04,1,Agraylea,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydroptilidae,caddisflies,6.4,3.457353951
South Fork McKenzie River,Disturbed,Benthic,2020-05-04,1,Hydroptila,L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Hydroptilidae,caddisflies,6.4,0.810802806
South Fork McKenzie River,Disturbed,Benthic,2020-05-04,1,Lepidostoma (Neodinarthrum),L,insect,Aquatic,Arthropoda: Insecta,Trichoptera,Lepidostomatidae,caddisflies,6.4,1.989133732
South Fork McKenzie River,Disturbed,Benthic,2020-05-04,1,Antocha,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Tipulidae,crane flies,6.4,2.263609324
South Fork McKenzie River,Disturbed,Benthic,2020-05-04,1,Clinocera,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Empididae,dance flies,6.4,3.309381367
South Fork McKenzie River,Disturbed,Benthic,2020-05-04,1,Neoplasta,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Empididae,dance flies,6.4,1.178741222
South Fork McKenzie River,Disturbed,Benthic,2020-05-04,1,Glutops,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Pelecorhynchidae,higher flies,6.4,12.86103432
South Fork McKenzie River,Disturbed,Benthic,2020-05-04,1,Acentrella,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,6.4,0.187761268
South Fork McKenzie River,Disturbed,Benthic,2020-05-04,1,Anafroptilum,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,6.4,1.82548521
South Fork McKenzie River,Disturbed,Benthic,2020-05-04,1,Baetis tricaudatus complex,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,230.4,66.23291211
South Fork McKenzie River,Disturbed,Benthic,2020-05-04,1,Diphetor hageni,L,insect,Aquatic,Arthropoda: Insecta,Ephemeroptera,Baetidae,mayflies,320,33.65643995
