Taxon,Stage,Insect?,Higher classification,Origin,Order,Family,Common name,BCG Attribute,Feeding Group,CA feeding group,Habit,Tolerance,WY HBI,PSSB tolerance,CA tolerance,Metals tolerance,BCI TV,PSSB long-lived,Voltinism,Development,Occurrence in drift,Size at maturity,Rheophily,Thermal preference,a,b
Header,U,non-insect,x,Terrestrial,x,x,x,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0,0
Crassiclitellata,U,non-insect,Annelida: Oligochaeta,Terrestrial,miscellaneous non-insect,Lumbriculidae,segmented worms,0,CG,CG,BU,0,0,0,5,11,110,0,2,2,1,2,2,2,0.0758,0.74
Gastropoda (terrestrial),U,non-insect,Mollusca: Gastropoda,Terrestrial,x,x,terrestrial snails,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.172,1.688
Pulmonata (slugs),U,non-insect,Mollusca: Gastropoda,Terrestrial,x,x,land slugs,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.172,1.688
Stylommatophora,U,non-insect,Mollusca: Gastropoda,Terrestrial,x,x,land slugs,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.172,1.688
Isopoda (terrestrial),U,non-insect,Crustacea: Isopoda,Terrestrial,x,x,sow and pill bugs,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0102,3.16
Armadillidium vulgare,U,non-insect,Crustacea: Isopoda,Terrestrial,x,x,sow and pill bugs,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0102,3.16
Ligidium,U,non-insect,Crustacea: Isopoda,Terrestrial,x,x,sow and pill bugs,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0102,3.16
Ligidium gracile,U,non-insect,Crustacea: Isopoda,Terrestrial,x,x,sow and pill bugs,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0102,3.16
Porcellio scaber,U,non-insect,Crustacea: Isopoda,Terrestrial,x,x,sow and pill bugs,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0102,3.16
Chilopoda,U,non-insect,Arthropoda: Chilopoda,Terrestrial,miscellaneous non-insect,x,centipedes,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.002,2.9277
Diplopoda,U,non-insect,Arthropoda: Chilopoda,Terrestrial,miscellaneous non-insect,x,millipedes,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.002,2.9277
Pseudoscorpionida,U,non-insect,Arthropoda: Pseudoscorpionida,Terrestrial,miscellaneous non-insect,x,pseudoscorpions,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0078,3.424
Collembola,U,non-insect,Arthropoda: Collembola,Terrestrial,x,x,springtails,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0024,3.676
Microcoryphia,U,non-insect,Arthropoda: Microcoryphia,Terrestrial,miscellaneous non-insect,x,jumping bristletails,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0747,1.601
Acari (terrestrial),U,non-insect,Arachnida: Acari,Aquatic,x,x,mites,4,PA,PR,SW,0,5,0,5,11,108,0,3,2,2,1,2,2,0.053,2.494
Araneae,U,non-insect,Arthropoda: Arachnida,Terrestrial,x,x,spiders,0,UN,UN,UN,0,0,0,11,11,110,0,0,0,0,0,0,0,0.0298,2.809
