taxon,annual B
Ameletus,0.486982853
Baetis alius,70.06491616
Baetis tricaudatus complex,250.7127308
Diphetor hageni,2.521204263
Micrasema,85.53213095
Chironomidae,6.780041976
Micropsectra,0.75030283
Sublettea,0.186055578
Cricotopus (Nostococladius),2.490188651
Eukiefferiella brehmi group,0.432456867
Eukiefferiella devonica group,1.465019562
Orthocladius,54.77163262
Tvetenia bavarica group,0.767382918
Thienemannimyia complex,28.15479986
Chloroperlidae,7.615779967
Sweltsa,9.680105786
Wiedemannia,3.580085602
Attenella margarita,9.867231219
Caudatella edmundsi,14.27114584
Drunella flavilinea,73.23636641
Ephemerella excrucians group,207.4249762
Serratella micheneri,52.90757377
Glossosoma,13.8373512
Cinygmula,12.45088025
Epeorus,3.111020657
Epeorus albertae group,38.57028773
Arctopsyche,37.79307382
Hydropsyche,599.2201958
Neoleptophlebia/Paraleptophlebia,3.93307342
Nemata,10.74867406
Malenka,4.05160156
Oligochaeta,21.55757513
Ostracoda,0.212981668
Hesperoperla pacifica,172.5922568
Cultus,24.63094801
Isoperla,4.400516283
Osobenus yakimae,23.21198589
Skwala,298.6655055
Menetus,4.573004844
Juga,285.000274
Pteronarcys californica,597.1673069
Rhyacophila brunnea/vemna group,49.72838521
Antocha,21.02832795
