taxon,annual_B
Ampumixis dispar,2.193945772
Attenella delantala,30.43666033
Attenella margarita,1.819187645
Baetis alius,17.45050712
Baetis tricaudatus complex,143.7034429
Brachycentrus americanus,11.02373287
Ceratopogoninae,10.64002757
Chelifera/Metachela,4.907337795
Chironomidae,2.792093728
Chloroperlidae,3.334117318
Cinygmula,136.2702648
Cladotanytarsus,1.787315618
Clinocera,8.418970739
Cricotopus (Nostococladius),0.948611006
Cultus,64.22362953
Dicosmoecus gilvipes,85.83072782
Diphetor hageni,8.139651765
Drunella flavilinea,14.6940451
Epeorus,1.962182907
Ephemerella excrucians group,83.06320512
Eukiefferiella devonica group,0.407761355
Glossosoma,19.98414507
Hesperoperla pacifica,426.0679705
Heterotrissocladius marcidus group,1.666606118
Hydropsyche,259.8849268
Hydroptila,2.387456832
Ironodes,21.12356312
Isoperla,6.572370445
Lepidostoma (Neodinarthrum),2.921910578
Malenka,16.59628564
Micropsectra,4.287472069
Narpus concolor,1.083251475
Nemata,29.0240448
Neoleptophlebia/Paraleptophlebia,13.08196928
Neoplasta,2.350574228
Oligochaeta,24.103562
Onocosmoecus unicolor,90.42220163
Orthocladius,11.36279487
Ostracoda,0.29246119
Pagastia,4.948377446
Parametriocnemus,7.785742855
Paratanytarsus,7.542360437
Perlodidae,4.0579204
Phaenopsectra,44.69930696
Polypedilum,7.244375163
Psectrocladius,10.35242841
Rhithrogena,74.7682102
Rhyacophila betteni group,25.65655395
Rhyacophila brunnea/vemna group,43.2195242
Simulium,8.784427697
Skwala,299.7213751
Stempellinella,0.32410608
Sweltsa,9.99160304
Synorthocladius,0.643380493
Tanytarsus,2.207429643
Thienemannimyia complex,40.45037091
Tvetenia bavarica group,2.106018042
Zapada cinctipes,1.364299363
